Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	152.385412606	162.269604084	440.590	1475.465	538.330	6.5034	645.996	1184.326	great.call
2	Spectrogram 1	1	163.167251871	163.323099769	625.023	1055.367	139.966	0.0544	742.896	882.861	male.coda
3	Spectrogram 1	1	163.403593868	163.553447616	594.284	1106.599	236.865	0.0816	742.896	979.761	male.coda
4	Spectrogram 1	1	163.727277964	163.853155113	553.299	983.643	107.666	0.0816	699.829	807.495	male.coda
5	Spectrogram 1	1	290.351909701	299.727480690	449.203	1362.101	506.030	6.5306	645.996	1152.026	great.call
6	Spectrogram 1	1	327.849883614	338.039938498	512.314	1403.741	527.563	6.0952	656.763	1184.326	great.call
7	Spectrogram 1	1	385.411714056	395.248057532	444.364	1660.517	516.797	6.7755	656.763	1173.560	great.call
8	Spectrogram 1	1	397.355737019	397.534495890	591.178	899.878	129.199	0.0544	678.296	807.495	male.coda
9	Spectrogram 1	1	397.843261214	398.013894682	624.253	1065.253	247.632	0.0816	732.129	979.761	male.coda
10	Spectrogram 1	1	398.338910811	398.485168070	657.328	1070.766	236.865	0.0544	742.896	979.761	male.coda
11	Spectrogram 1	1	417.186304029	426.453259823	512.314	1454.972	516.797	5.9592	656.763	1173.560	great.call
12	Spectrogram 1	1	429.388417027	429.524049157	553.299	1075.860	236.865	0.1088	689.062	925.928	male.coda
13	Spectrogram 1	1	429.725213874	429.827114423	645.516	1168.076	290.698	0.0816	753.662	1044.360	male.coda
14	Spectrogram 1	1	430.018927220	430.138810219	604.531	1014.382	215.332	0.0816	699.829	915.161	male.coda
15	Spectrogram 1	1	430.518582486	430.644459635	543.053	891.427	139.966	0.0544	645.996	785.962	male.coda
16	Spectrogram 1	1	479.861162739	489.176071733	522.560	1403.741	516.797	6.5306	667.529	1184.326	great.call
17	Spectrogram 1	1	517.449359188	526.587573950	532.807	1454.972	527.563	6.0680	645.996	1173.560	great.call
18	Spectrogram 1	1	530.209164233	530.336319355	553.299	952.904	161.499	0.0544	656.763	818.262	male.coda
19	Spectrogram 1	1	530.497382509	530.616060623	532.807	963.151	204.565	0.0544	635.229	839.795	male.coda
20	Spectrogram 1	1	530.768646770	530.912755908	604.531	1055.367	226.099	0.1088	689.062	915.161	male.coda
21	Spectrogram 1	1	531.158589143	531.294221274	563.546	983.643	161.499	0.1088	656.763	818.262	male.coda
22	Spectrogram 1	1	531.480715452	531.599393566	553.299	901.673	161.499	0.0816	613.696	775.195	male.coda
23	Spectrogram 1	1	531.963904916	532.074106021	522.560	850.441	139.966	0.0816	602.930	742.896	male.coda
24	Spectrogram 1	1	579.133294205	588.864899536	512.314	1424.233	549.097	6.8027	667.529	1216.626	great.call
25	Spectrogram 1	1	627.507105992	637.747331811	512.314	1444.726	549.097	7.0476	656.763	1205.859	great.call
26	Spectrogram 1	1	639.876624606	639.995302720	584.038	973.397	193.799	0.0816	689.062	882.861	male.coda
27	Spectrogram 1	1	640.300475013	640.410676119	573.792	1168.076	301.465	0.0544	742.896	1044.360	male.coda
28	Spectrogram 1	1	640.817572509	640.919296606	573.792	1127.091	301.465	0.0544	753.662	1055.127	male.coda
29	Spectrogram 1	1	641.343147013	641.478779143	655.762	1178.322	301.465	0.0816	742.896	1044.360	male.coda
30	Spectrogram 1	1	669.820201156	679.636576569	512.314	1424.233	549.097	6.2585	667.529	1216.626	great.call
31	Spectrogram 1	1	684.783684258	684.953224420	614.777	1075.860	204.565	0.0816	689.062	893.628	male.coda
32	Spectrogram 1	1	685.148195607	685.241442697	676.255	1178.322	290.698	0.0544	742.896	1033.594	male.coda
33	Spectrogram 1	1	685.622908063	685.775494209	584.038	911.919	193.799	0.1088	710.596	904.395	male.coda
34	Spectrogram 1	1	686.487562892	686.614718014	502.068	799.210	96.899	0.0544	592.163	689.062	male.coda
35	Spectrogram 1	1	725.548083088	735.279688419	481.575	1413.987	538.330	7.1565	667.529	1205.859	great.call
36	Spectrogram 1	1	767.414837031	777.502476704	522.560	1485.711	602.930	6.5578	667.529	1270.459	great.call
37	Spectrogram 1	1	781.903607677	782.013808783	594.284	963.151	161.499	0.0816	678.296	839.795	male.coda
38	Spectrogram 1	1	782.183348946	782.302027059	614.777	1055.367	236.865	0.0544	678.296	915.161	male.coda
39	Spectrogram 1	1	782.547860295	782.649584393	594.284	963.151	161.499	0.0544	678.296	839.795	male.coda
40	Spectrogram 1	1	782.819124555	782.937802669	532.807	881.180	183.032	0.0816	667.529	850.562	male.coda
41	Spectrogram 1	1	783.098865824	783.200589921	563.546	891.427	150.732	0.0544	667.529	818.262	male.coda
42	Spectrogram 1	1	783.514239222	783.641394344	471.329	727.486	96.899	0.0544	581.396	678.296	male.coda
43	Spectrogram 1	1	811.779368229	821.010830081	502.068	1434.480	495.264	6.0136	656.763	1152.026	great.call
44	Spectrogram 1	1	825.152114344	825.313177499	491.822	860.688	172.266	0.0816	592.163	764.429	male.coda
45	Spectrogram 1	1	825.491194669	825.601395775	625.023	1024.628	215.332	0.0544	699.829	915.161	male.coda
46	Spectrogram 1	1	825.762458930	825.881137043	625.023	932.412	86.133	0.0544	732.129	818.262	male.coda
47	Spectrogram 1	1	825.991338149	826.126970279	686.501	973.397	118.433	0.0816	721.362	839.795	male.coda
48	Spectrogram 1	1	826.381280523	826.508435645	584.038	860.688	129.199	0.0544	699.829	829.028	male.coda
49	Spectrogram 1	1	856.013803840	865.609777041	461.083	1434.480	516.797	6.8299	678.296	1195.093	great.call
50	Spectrogram 1	1	870.310199784	870.505170971	594.284	1229.554	387.598	0.0816	732.129	1119.727	male.coda
51	Spectrogram 1	1	870.751004207	870.886636337	666.008	1229.554	312.231	0.0816	785.962	1098.193	male.coda
52	Spectrogram 1	1	871.090084532	871.251147686	614.777	881.180	118.433	0.1088	753.662	872.095	male.coda
53	Spectrogram 1	1	871.285055719	871.395256824	635.270	891.427	64.600	0.0816	764.429	829.028	male.coda
54	Spectrogram 1	1	871.403733833	871.530888954	625.023	870.934	75.366	0.0544	753.662	829.028	male.coda
55	Spectrogram 1	1	871.861492271	872.014078418	573.792	1024.628	290.698	0.1361	699.829	990.527	male.coda
56	Spectrogram 1	1	872.259911654	872.353158743	543.053	696.747	75.366	0.0544	581.396	656.763	male.coda
57	Spectrogram 1	1	900.595796823	910.437603260	491.822	1434.480	527.563	6.3129	667.529	1195.093	great.call
58	Spectrogram 1	1	913.567183014	913.719769161	584.038	1086.106	236.865	0.0544	721.362	958.228	male.coda
59	Spectrogram 1	1	913.931694364	914.084280510	604.531	1301.278	355.298	0.0544	764.429	1119.727	male.coda
60	Spectrogram 1	1	914.262297681	914.431837843	635.270	1301.278	366.064	0.0816	753.662	1119.727	male.coda
61	Spectrogram 1	1	914.694625095	914.821780217	604.531	1188.569	290.698	0.0816	764.429	1055.127	male.coda
62	Spectrogram 1	1	915.355831729	915.440601811	573.792	1034.875	215.332	0.0544	721.362	936.694	male.coda
63	Spectrogram 1	1	963.560789341	973.207624591	543.053	1383.248	527.563	7.1293	656.763	1184.326	great.call
64	Spectrogram 1	1	975.811629842	975.938784963	594.284	952.904	172.266	0.0544	689.062	861.328	male.coda
65	Spectrogram 1	1	976.111641824	976.235679069	573.792	1116.845	236.865	0.0544	742.896	979.761	male.coda
66	Spectrogram 1	1	976.659330654	976.761054752	625.023	1055.367	236.865	0.0544	775.195	1012.061	male.coda
67	Spectrogram 1	1	977.049273028	977.142520118	635.270	1034.875	236.865	0.0544	796.729	1033.594	male.coda
68	Spectrogram 1	1	977.498554459	977.624896222	655.762	1045.121	204.565	0.0544	742.896	947.461	male.coda
69	Spectrogram 1	1	1013.913562570	1023.501058763	563.546	1454.972	549.097	7.0204	667.529	1216.626	great.call
70	Spectrogram 1	1	1026.506767994	1026.693262173	584.038	1106.599	226.099	0.0544	689.062	915.161	male.coda
71	Spectrogram 1	1	1026.964526433	1027.091681555	584.038	1127.091	279.932	0.0544	732.129	1012.061	male.coda
72	Spectrogram 1	1	1027.396853847	1027.566394010	461.083	1024.628	269.165	0.0544	645.996	915.161	male.coda
73	Spectrogram 1	1	1028.041106465	1028.159784579	614.777	1055.367	236.865	0.0544	710.596	947.461	male.coda
74	Spectrogram 1	1	1075.851806845	1086.024216599	481.575	1413.987	484.497	5.9864	678.296	1162.793	great.call
75	Spectrogram 1	1	1088.719216398	1088.939618609	604.531	1219.308	366.064	0.0816	742.896	1108.960	male.coda
76	Spectrogram 1	1	1089.168497829	1089.304129959	645.516	1188.569	333.765	0.0816	775.195	1108.960	male.coda
77	Spectrogram 1	1	1089.651687292	1089.761888398	604.531	1045.121	290.698	0.0816	753.662	1044.360	male.coda
78	Spectrogram 1	1	1090.100968723	1090.219646837	604.531	1034.875	279.932	0.0816	742.896	1022.827	male.coda
79	Spectrogram 1	1	1118.325964664	1127.896506841	481.575	1403.741	527.563	6.9932	678.296	1205.859	great.call
