Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	2.016838361	13.346920666	540.441	1573.284	581.396	8.2721	667.529	1248.926	great.call
2	Spectrogram 1	1	15.437156376	15.862960123	636.520	1375.123	538.330	0.2993	667.529	1205.859	male.coda
3	Spectrogram 1	1	15.927756345	16.325790282	696.569	1453.186	516.797	0.2993	699.829	1216.626	male.coda
4	Spectrogram 1	1	16.399843108	16.705311013	744.608	1423.162	409.131	0.2177	829.028	1238.159	male.coda
5	Spectrogram 1	1	16.770107235	17.103344950	708.578	1447.181	409.131	0.1905	818.262	1227.393	male.coda
6	Spectrogram 1	1	38.034309635	49.086693844	540.441	1465.196	570.630	8.2721	645.996	1216.626	great.call
7	Spectrogram 1	1	79.470643966	89.208590522	510.417	1561.275	592.163	6.9116	678.296	1270.459	great.call
8	Spectrogram 1	1	91.101133737	91.591733706	732.598	1417.157	322.998	0.3265	807.495	1130.493	male.coda
9	Spectrogram 1	1	91.628760119	91.952741231	732.598	1459.191	398.364	0.2177	807.495	1205.859	male.coda
10	Spectrogram 1	1	92.082333676	92.332261962	714.583	1345.098	344.531	0.1633	850.562	1195.093	male.coda
11	Spectrogram 1	1	117.188026079	127.314749969	564.461	1477.206	570.630	6.6395	667.529	1238.159	great.call
12	Spectrogram 1	1	160.895978745	170.282174379	516.422	1567.279	624.463	6.0680	656.763	1281.226	great.call
13	Spectrogram 1	1	206.231992063	216.451281985	570.466	1561.275	592.163	7.1293	667.529	1259.692	great.call
14	Spectrogram 1	1	219.786429944	220.244608426	810.662	1399.142	269.165	0.3265	861.328	1130.493	male.coda
15	Spectrogram 1	1	220.388607378	220.742059350	822.672	1423.162	441.431	0.2449	850.562	1291.992	male.coda
16	Spectrogram 1	1	220.859876674	221.043148066	792.647	1327.083	312.231	0.1633	818.262	1130.493	male.coda
17	Spectrogram 1	1	243.075780429	252.082260305	516.422	1411.152	602.930	6.0952	656.763	1259.692	great.call
18	Spectrogram 1	1	254.736521635	255.207790931	672.549	1453.186	376.831	0.3265	732.129	1108.960	male.coda
19	Spectrogram 1	1	255.351789883	255.613606158	690.564	1405.147	452.197	0.1633	829.028	1281.226	male.coda
20	Spectrogram 1	1	255.744514296	255.953967316	642.525	1405.147	258.398	0.1633	829.028	1087.427	male.coda
21	Spectrogram 1	1	256.058693826	256.359782543	732.598	1080.882	269.165	0.2449	775.195	1044.360	male.coda
22	Spectrogram 1	1	282.041578780	291.218239235	564.461	1579.289	559.863	6.0952	667.529	1227.393	great.call
23	Spectrogram 1	1	295.403332124	295.586603517	786.642	1393.137	279.932	0.1361	850.562	1130.493	male.coda
24	Spectrogram 1	1	295.769874910	296.031691185	768.627	1393.137	355.298	0.1633	829.028	1184.326	male.coda
25	Spectrogram 1	1	296.188780951	296.398233971	744.608	1297.059	312.231	0.1633	807.495	1119.727	male.coda
26	Spectrogram 1	1	296.843321639	297.196773611	714.583	1218.995	344.531	0.1633	742.896	1087.427	male.coda
27	Spectrogram 1	1	325.129396536	334.960597680	570.466	1603.309	549.097	7.1293	678.296	1227.393	great.call
28	Spectrogram 1	1	336.917037505	337.268788426	726.593	1405.147	441.431	0.2993	796.729	1238.159	male.coda
29	Spectrogram 1	1	337.352097855	337.657565760	732.598	1393.137	495.264	0.2177	796.729	1291.992	male.coda
30	Spectrogram 1	1	337.740875189	337.990803475	738.603	1393.137	484.497	0.1905	785.962	1270.459	male.coda
31	Spectrogram 1	1	371.174945296	381.215599460	510.417	1579.289	613.696	7.3469	656.763	1270.459	great.call
