Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
13	Spectrogram 1	1	171.471801659	171.854701635	675.0	1333.1	441.431	0.1633	818.262	1259.692	male.coda
20	Spectrogram 1	1	233.270133679	233.419964104	683.4	1349.9	398.364	0.1361	839.795	1238.159	male.coda
34	Spectrogram 1	1	365.552675789	365.902280116	717.2	1349.9	322.998	0.0544	979.761	1302.759	male.coda
28	Spectrogram 1	1	304.156047476	304.538947453	725.6	1358.4	484.497	0.2177	850.562	1335.059	male.coda
11	Spectrogram 1	1	109.713258959	110.029567635	700.3	1375.2	398.364	0.1088	915.161	1313.525	male.coda
30	Spectrogram 1	1	364.154258483	364.370680209	649.7	1383.7	366.064	0.0544	904.395	1270.459	male.coda
2	Spectrogram 1	1	51.314395445	51.785267045	631.4	1389.1	484.497	0.1633	796.729	1281.226	male.coda
19	Spectrogram 1	1	232.787346752	233.153598903	649.7	1409.0	484.497	0.2177	818.262	1302.759	male.coda
5	Spectrogram 1	1	52.455445419	52.705162795	732.4	1414.4	441.431	0.1088	882.861	1324.292	male.coda
7	Spectrogram 1	1	108.381432953	108.581206854	717.2	1425.9	430.664	0.0816	904.395	1335.059	male.coda
9	Spectrogram 1	1	108.947459005	109.197176381	742.5	1434.3	398.364	0.1361	925.928	1324.292	male.coda
24	Spectrogram 1	1	302.857517121	303.173825797	632.8	1442.7	527.563	0.1361	796.729	1324.292	male.coda
33	Spectrogram 1	1	365.119832337	365.469436664	826.8	1442.7	441.431	0.0816	925.928	1367.358	male.coda
8	Spectrogram 1	1	108.731037279	108.914163355	717.2	1459.6	430.664	0.0816	947.461	1378.125	male.coda
25	Spectrogram 1	1	303.290360572	303.456838823	717.2	1459.6	484.497	0.0816	882.861	1367.358	male.coda
17	Spectrogram 1	1	172.870218965	173.186527641	700.3	1468.1	419.897	0.0816	915.161	1335.059	male.coda
27	Spectrogram 1	1	303.789795325	304.039512701	750.9	1468.1	473.730	0.1361	882.861	1356.592	male.coda
32	Spectrogram 1	1	364.686988885	364.986649737	742.5	1476.5	355.298	0.1361	990.527	1345.825	male.coda
31	Spectrogram 1	1	364.437271509	364.703636710	691.8	1484.9	387.598	0.0544	1001.294	1388.892	male.coda
10	Spectrogram 1	1	109.280415507	109.646667658	776.2	1493.4	398.364	0.1088	979.761	1378.125	male.coda
14	Spectrogram 1	1	171.921292936	172.137714662	700.3	1493.4	484.497	0.0816	915.161	1399.658	male.coda
26	Spectrogram 1	1	303.556725774	303.773147500	734.0	1493.4	484.497	0.1361	904.395	1388.892	male.coda
15	Spectrogram 1	1	172.237601612	172.404079863	734.0	1501.8	495.264	0.0816	893.628	1388.892	male.coda
4	Spectrogram 1	1	52.172432392	52.455445419	698.8	1507.0	441.431	0.1088	893.628	1335.059	male.coda
16	Spectrogram 1	1	172.487318988	172.670445064	776.2	1510.2	506.030	0.1088	904.395	1410.425	male.coda
22	Spectrogram 1	1	233.936046682	234.102524932	767.8	1518.7	495.264	0.1361	882.861	1378.125	male.coda
3	Spectrogram 1	1	51.832354205	52.091333585	698.8	1574.3	592.163	0.1088	904.395	1496.558	male.coda
21	Spectrogram 1	1	233.553146705	233.802864081	717.2	1611.5	516.797	0.1361	872.095	1388.892	male.coda
12	Spectrogram 1	1	158.449567161	171.085266390	514.7	2674.6	656.763	8.3537	656.763	1313.525	great.call
1	Spectrogram 1	1	37.612031885	50.843523845	488.3	2795.1	710.596	8.7075	667.529	1378.125	great.call
23	Spectrogram 1	1	289.605848364	301.925238917	506.2	2809.5	635.229	9.1973	656.763	1291.992	great.call
18	Spectrogram 1	1	219.152778018	232.138081574	489.4	2818.0	592.163	8.9796	656.763	1248.926	great.call
6	Spectrogram 1	1	95.014658419	107.850131550	472.5	2834.9	721.362	8.7075	656.763	1378.125	great.call
29	Spectrogram 1	1	350.885941901	363.022206378	497.8	2851.7	872.095	9.4966	667.529	1539.624	great.call
