Selection	View	Channel	Begin Time (s)	End Time (s)	High Freq (Hz)	Low Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	48.394250485	61.499512407	2919.2	489.4	635.229	9.8503	656.763	1291.992	great.call
2	Spectrogram 1	1	62.072838127	62.435010156	1375.2	624.3	462.964	0.1361	775.195	1238.159	male.coda
3	Spectrogram 1	1	62.502079050	62.730113290	1459.6	675.0	527.563	0.1088	861.328	1388.892	male.coda
4	Spectrogram 1	1	62.810595963	62.998388867	1484.9	708.7	516.797	0.0816	893.628	1410.425	male.coda
5	Spectrogram 1	1	62.984975088	63.360560895	1459.6	734.0	473.730	0.1088	915.161	1388.892	male.coda
6	Spectrogram 1	1	63.347147116	63.642250251	1383.7	708.7	430.664	0.0816	872.095	1302.759	male.coda
7	Spectrogram 1	1	123.171334479	136.088803497	2758.9	421.9	613.696	9.0340	678.296	1291.992	great.call
8	Spectrogram 1	1	136.630147284	136.978905534	1544.0	573.7	538.330	0.1088	861.328	1399.658	male.coda
9	Spectrogram 1	1	136.992319313	137.287422447	1468.1	691.8	495.264	0.1088	893.628	1388.892	male.coda
10	Spectrogram 1	1	137.314250005	137.528870466	1434.3	767.8	430.664	0.1361	915.161	1345.825	male.coda
11	Spectrogram 1	1	137.797146043	137.984938947	1476.5	810.0	430.664	0.0816	936.694	1367.358	male.coda
12	Spectrogram 1	1	138.172731851	138.266628302	1459.6	708.7	462.964	0.0544	872.095	1335.059	male.coda
13	Spectrogram 1	1	205.084555742	219.008497539	2674.6	497.8	1248.926	10.0680	656.763	1905.688	great.call
14	Spectrogram 1	1	219.609712006	220.038952929	1425.9	649.7	516.797	0.1361	829.028	1345.825	male.coda
15	Spectrogram 1	1	220.106021823	220.280400948	1493.4	683.4	462.964	0.1088	893.628	1356.592	male.coda
16	Spectrogram 1	1	220.347469842	220.629159197	1409.0	717.2	430.664	0.1088	904.395	1335.059	male.coda
17	Spectrogram 1	1	220.642572976	220.964503668	1434.3	793.1	430.664	0.1088	915.161	1345.825	male.coda
18	Spectrogram 1	1	221.259606803	221.608365052	1231.8	675.0	398.364	0.1905	807.495	1205.859	male.coda
19	Spectrogram 1	1	293.315291537	306.286415671	2792.7	514.7	1281.226	9.6054	667.529	1948.755	great.call
20	Spectrogram 1	1	307.101189111	307.530430034	1375.2	649.7	387.598	0.1088	850.562	1238.159	male.coda
21	Spectrogram 1	1	307.543843812	307.906015841	1451.2	700.3	419.897	0.1088	904.395	1324.292	male.coda
22	Spectrogram 1	1	307.999912293	308.160877639	1392.1	776.2	409.131	0.0816	915.161	1324.292	male.coda
23	Spectrogram 1	1	308.321842985	308.536463446	1375.2	742.5	387.598	0.0544	904.395	1291.992	male.coda
24	Spectrogram 1	1	373.055383040	386.455748097	2758.9	523.1	1324.292	9.6871	667.529	1991.821	great.call
26	Spectrogram 1	1	387.205141147	387.634382070	1459.6	683.4	506.030	0.1088	818.262	1324.292	male.coda
27	Spectrogram 1	1	387.728278521	387.929485204	1417.4	725.6	430.664	0.0816	893.628	1324.292	male.coda
28	Spectrogram 1	1	387.996554098	388.251415896	1400.6	742.5	419.897	0.1088	893.628	1313.525	male.coda
29	Spectrogram 1	1	388.398967463	388.707484376	1366.8	725.6	441.431	0.1088	882.861	1324.292	male.coda
30	Spectrogram 1	1	462.962938480	476.202338190	2615.5	523.1	689.062	10.6939	656.763	1345.825	great.call
31	Spectrogram 1	1	477.347392386	477.736391972	1451.2	649.7	559.863	0.1088	818.262	1378.125	male.coda
32	Spectrogram 1	1	477.763219529	478.031495106	1358.4	734.0	387.598	0.0816	882.861	1270.459	male.coda
33	Spectrogram 1	1	478.085150222	478.313184462	1434.3	717.2	430.664	0.0816	904.395	1335.059	male.coda
34	Spectrogram 1	1	478.460736029	478.635115154	1425.9	725.6	409.131	0.0544	904.395	1313.525	male.coda
35	Spectrogram 1	1	559.260510653	573.241362294	2801.1	548.4	1378.125	10.7755	667.529	2045.654	great.call
36	Spectrogram 1	1	575.951959804	576.327545611	1544.0	641.2	409.131	0.0816	915.161	1324.292	male.coda
37	Spectrogram 1	1	576.528752294	576.729958977	1375.2	742.5	355.298	0.0816	872.095	1227.393	male.coda
