Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	9.229822738	19.823739115	575.200	1583.100	409.131	7.4286	710.596	1119.727	great.call
2	Spectrogram 1	1	44.046727095	56.540606263	541.000	1554.700	581.396	9.1156	721.362	1302.759	great.call
3	Spectrogram 1	1	81.267676809	93.970872940	603.600	1600.200	592.163	9.6599	721.362	1313.525	great.call
4	Spectrogram 1	1	136.108769462	147.688379656	575.200	1531.900	495.264	7.5918	732.129	1227.393	great.call
5	Spectrogram 1	1	149.200315100	149.567524739	740.300	1104.800	193.799	0.1361	829.028	1022.827	male.coda
6	Spectrogram 1	1	169.018902831	180.077170832	586.600	1594.500	538.330	7.6735	732.129	1270.459	great.call
7	Spectrogram 1	1	213.469509489	224.296630064	586.600	1611.600	549.097	7.2109	721.362	1270.459	great.call
8	Spectrogram 1	1	225.351646811	225.774494275	746.000	1247.100	258.398	0.1361	818.262	1076.660	male.coda
9	Spectrogram 1	1	226.008173136	226.386510340	763.100	1252.800	236.865	0.1361	872.095	1108.960	male.coda
10	Spectrogram 1	1	245.254249501	256.121394936	609.300	1543.300	495.264	7.7823	732.129	1227.393	great.call
11	Spectrogram 1	1	257.647937965	258.104168123	757.400	1304.100	258.398	0.1361	893.628	1152.026	male.coda
12	Spectrogram 1	1	287.640134145	296.408655227	597.900	1566.100	581.396	6.2313	742.896	1324.292	great.call
13	Spectrogram 1	1	297.982498963	298.405346427	734.600	1315.500	344.531	0.1361	818.262	1162.793	male.coda
14	Spectrogram 1	1	298.538877204	299.150893270	711.800	1070.600	118.433	0.2449	882.861	1001.294	male.coda
15	Spectrogram 1	1	327.733968557	338.617504729	546.700	1577.400	495.264	7.2925	732.129	1227.393	great.call
16	Spectrogram 1	1	339.697567055	339.998011305	774.500	1531.900	430.664	0.1088	904.395	1335.059	male.coda
17	Spectrogram 1	1	340.176052342	340.365220944	717.500	1099.100	172.266	0.0544	829.028	1001.294	male.coda
18	Spectrogram 1	1	362.052085723	372.601017178	558.100	1526.200	527.563	8.1088	721.362	1248.926	great.call
19	Spectrogram 1	1	373.660202483	373.960646734	785.900	1497.700	452.197	0.1088	915.161	1367.358	male.coda
20	Spectrogram 1	1	373.994029428	374.394621762	723.200	1030.700	96.899	0.1633	829.028	925.928	male.coda
21	Spectrogram 1	1	395.509123122	406.069182141	546.700	1514.800	473.730	8.2177	721.362	1195.093	great.call
22	Spectrogram 1	1	406.976061043	407.421163636	757.400	1423.700	344.531	0.1361	936.694	1281.226	male.coda
23	Spectrogram 1	1	407.454546330	408.177838044	746.000	985.200	86.133	0.3265	829.028	915.161	male.coda
24	Spectrogram 1	1	431.607561942	442.256641480	523.900	1543.300	409.131	6.6395	732.129	1141.260	great.call
25	Spectrogram 1	1	443.735194229	444.235934646	717.500	1492.000	506.030	0.1361	861.328	1367.358	male.coda
26	Spectrogram 1	1	444.291572470	445.115012267	751.700	1144.600	183.032	0.2449	872.095	1055.127	male.coda
27	Spectrogram 1	1	470.974713856	481.123052976	495.400	1560.400	516.797	6.5034	732.129	1248.926	great.call
28	Spectrogram 1	1	481.954829373	482.299783882	751.700	1492.000	473.730	0.1905	850.562	1324.292	male.coda
29	Spectrogram 1	1	482.377676836	482.911799948	728.900	1087.700	193.799	0.2993	807.495	1001.294	male.coda
30	Spectrogram 1	1	521.842875439	532.825781921	529.600	1520.500	484.497	7.7551	732.129	1216.626	great.call
31	Spectrogram 1	1	533.665206379	534.010160889	706.100	1457.900	430.664	0.1905	850.562	1281.226	male.coda
32	Spectrogram 1	1	534.188201926	534.622176954	734.600	1127.600	161.499	0.2449	872.095	1033.594	male.coda
33	Spectrogram 1	1	561.809068455	571.911265211	506.800	1549.000	473.730	7.2109	732.129	1205.859	great.call
34	Spectrogram 1	1	572.965592904	573.355057673	740.300	1281.300	279.932	0.1633	915.161	1195.093	male.coda
35	Spectrogram 1	1	573.432950626	573.944818608	660.600	1087.700	129.199	0.2449	829.028	958.228	male.coda
36	Spectrogram 1	1	600.569531204	610.840273538	569.500	1571.700	419.897	6.9116	742.896	1162.793	great.call
37	Spectrogram 1	1	612.300051177	612.622750557	814.300	1594.500	516.797	0.1361	915.161	1431.958	male.coda
38	Spectrogram 1	1	612.689515946	613.134618539	700.500	1053.500	107.666	0.1633	829.028	936.694	male.coda
39	Spectrogram 1	1	613.290404447	613.635358956	666.300	1178.800	269.165	0.0816	775.195	1044.360	male.coda
40	Spectrogram 1	1	646.881661678	657.285934790	529.600	1594.500	506.030	7.5646	742.896	1248.926	great.call
41	Spectrogram 1	1	658.904288785	659.438411897	734.600	1509.100	527.563	0.1361	915.161	1442.725	male.coda
42	Spectrogram 1	1	659.460667026	660.094938221	700.500	990.900	161.499	0.3537	775.195	936.694	male.coda
43	Spectrogram 1	1	686.237686027	696.074453332	523.900	1577.400	506.030	7.4014	721.362	1227.393	great.call
44	Spectrogram 1	1	697.611434870	697.900751556	785.900	1685.600	602.930	0.1361	947.461	1550.391	male.coda
45	Spectrogram 1	1	697.934134250	698.279088760	683.400	1104.800	172.266	0.2177	818.262	990.527	male.coda
46	Spectrogram 1	1	698.379236843	698.735318918	689.100	996.600	161.499	0.2177	785.962	947.461	male.coda
47	Spectrogram 1	1	735.254503291	745.436225106	518.200	1497.700	462.964	7.5918	732.129	1195.093	great.call
48	Spectrogram 1	1	746.193588052	746.816731682	734.600	1338.300	344.531	0.3537	904.395	1248.926	male.coda
49	Spectrogram 1	1	746.916879765	747.606788784	740.300	1087.700	172.266	0.2177	850.562	1022.827	male.coda
50	Spectrogram 1	1	777.073888024	787.589436783	467.000	1577.400	441.431	7.4014	732.129	1173.560	great.call
51	Spectrogram 1	1	788.302978525	788.881611896	768.800	1605.900	506.030	0.3810	915.161	1421.191	male.coda
52	Spectrogram 1	1	788.937249720	789.493627961	666.300	1127.600	215.332	0.2449	818.262	1033.594	male.coda
53	Spectrogram 1	1	823.152876610	833.015530112	523.900	1526.200	452.197	7.2381	732.129	1184.326	great.call
54	Spectrogram 1	1	834.005883382	834.417603280	728.900	1463.500	473.730	0.1361	850.562	1324.292	male.coda
55	Spectrogram 1	1	834.428730845	834.996236651	654.900	1030.700	86.133	0.2993	839.795	925.928	male.coda
56	Spectrogram 1	1	835.051874475	835.363446290	637.800	1008.000	193.799	0.0816	721.362	915.161	male.coda
57	Spectrogram 1	1	870.292077948	881.386260079	523.900	1605.900	452.197	7.9456	732.129	1184.326	great.call
58	Spectrogram 1	1	882.608878836	882.875940392	780.200	1514.800	527.563	0.1633	893.628	1421.191	male.coda
60	Spectrogram 1	1	882.920450652	883.376680809	700.500	1059.200	96.899	0.1905	807.495	904.395	male.coda
61	Spectrogram 1	1	883.421191069	884.088844958	677.700	1104.800	150.732	0.2177	829.028	979.761	male.coda
