Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	452.415589589	464.984141858	440.2	1451.5	667.529	8.5714	592.163	1259.692	great.call
2	Spectrogram 1	1	467.390651429	467.836781192	681.2	1110.9	183.032	0.1088	796.729	979.761	male.coda
3	Spectrogram 1	1	467.975235256	468.405981233	765.0	1273.3	312.231	0.1905	861.328	1173.560	male.coda
4	Spectrogram 1	1	468.529051512	468.959797490	681.2	1137.1	247.632	0.1361	796.729	1044.360	male.coda
5	Spectrogram 1	1	489.284087815	502.360304987	434.9	1420.0	645.996	9.9048	592.163	1238.159	great.call
6	Spectrogram 1	1	508.390807221	508.790785629	644.5	1409.6	452.197	0.1361	796.729	1248.926	male.coda
7	Spectrogram 1	1	508.929239693	509.267682961	796.5	1336.2	279.932	0.0816	925.928	1205.859	male.coda
8	Spectrogram 1	1	509.359985670	509.652277584	749.3	1315.2	301.465	0.0816	850.562	1152.026	male.coda
9	Spectrogram 1	1	533.911541674	546.880072351	440.2	1409.6	667.529	8.8435	581.396	1248.926	great.call
10	Spectrogram 1	1	547.798741507	548.214103699	670.7	1420.0	409.131	0.0816	850.562	1259.692	male.coda
11	Spectrogram 1	1	548.352557763	548.675617246	822.7	1325.7	236.865	0.0816	936.694	1173.560	male.coda
12	Spectrogram 1	1	548.937141590	549.244817288	749.3	1278.6	258.398	0.0816	925.928	1184.326	male.coda
13	Spectrogram 1	1	579.731239124	592.330558963	461.1	1425.3	613.696	9.2245	592.163	1205.859	great.call
14	Spectrogram 1	1	594.699720390	595.084315013	759.8	1289.0	387.598	0.1905	850.562	1238.159	male.coda
15	Spectrogram 1	1	595.284304217	595.438142066	1032.3	1388.6	226.099	0.0816	1087.427	1313.525	male.coda
16	Spectrogram 1	1	595.653515054	595.991958322	780.8	1241.9	290.698	0.1905	872.095	1162.793	male.coda
17	Spectrogram 1	1	668.953157159	681.943681197	487.3	1383.4	645.996	8.5442	602.930	1248.926	great.call
18	Spectrogram 1	1	683.574391673	683.851299801	744.1	1524.8	462.964	0.1361	915.161	1378.125	male.coda
19	Spectrogram 1	1	683.974370081	684.297429564	791.2	1456.7	398.364	0.2177	947.461	1345.825	male.coda
20	Spectrogram 1	1	684.512802552	684.774326896	807.0	1393.8	333.765	0.1905	968.994	1302.759	male.coda
21	Spectrogram 1	1	715.610188571	728.332578690	524.0	1441.0	581.396	9.4422	613.696	1195.093	great.call
22	Spectrogram 1	1	729.675383973	730.044594811	712.6	1593.0	484.497	0.1633	861.328	1345.825	male.coda
23	Spectrogram 1	1	730.121513735	730.398421864	817.4	1467.2	452.197	0.1361	925.928	1378.125	male.coda
24	Spectrogram 1	1	730.552259713	730.921470550	854.1	1357.2	322.998	0.1361	925.928	1248.926	male.coda
25	Spectrogram 1	1	761.199129248	773.644611238	492.6	1404.3	635.229	9.9592	602.930	1238.159	great.call
26	Spectrogram 1	1	774.629173472	774.998384310	723.1	1420.0	409.131	0.1905	861.328	1270.459	male.coda
27	Spectrogram 1	1	775.059919450	775.356627359	812.2	1372.9	333.765	0.1633	947.461	1281.226	male.coda
28	Spectrogram 1	1	775.464313854	775.787373337	796.5	1367.6	301.465	0.1088	925.928	1227.393	male.coda
29	Spectrogram 1	1	831.916488848	846.115722318	487.3	1556.3	645.996	9.8231	602.930	1248.926	great.call
30	Spectrogram 1	1	846.876166904	847.168458817	691.7	1634.9	602.930	0.1633	904.395	1507.324	male.coda
31	Spectrogram 1	1	847.229993957	847.553053440	822.7	1472.4	376.831	0.1633	979.761	1356.592	male.coda
32	Spectrogram 1	1	847.568437225	847.953031847	796.5	1388.6	430.664	0.2449	882.861	1313.525	male.coda
33	Spectrogram 1	1	848.122253481	848.476080534	754.6	1231.4	290.698	0.1905	839.795	1130.493	male.coda
34	Spectrogram 1	1	878.751516103	892.181560327	487.3	1409.6	581.396	7.9456	602.930	1184.326	great.call
35	Spectrogram 1	1	897.818664729	898.295562061	665.5	1498.6	549.097	0.1905	807.495	1356.592	male.coda
36	Spectrogram 1	1	898.495551265	898.803226963	749.3	1241.9	258.398	0.1361	861.328	1119.727	male.coda
