Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	95.335262194	108.741558374	437.800	1418.600	516.797	8.2431	602.930	1119.727	Great.call
2	Spectrogram 1	1	109.387126408	109.731429360	686.100	1102.900	258.398	0.1219	775.195	1033.594	male.coda
3	Spectrogram 1	1	109.860542966	110.161808049	681.900	1111.300	258.398	0.1509	689.062	947.461	male.coda
4	Spectrogram 1	1	110.269402722	110.549148870	665.100	972.400	258.398	0.1741	689.062	947.461	male.coda
5	Spectrogram 1	1	194.245230839	206.188239474	420.900	1439.600	516.797	8.6030	602.930	1119.727	great.call
6	Spectrogram 1	1	206.962921115	207.264186198	559.900	1334.400	516.797	0.1103	689.062	1205.859	male.coda
7	Spectrogram 1	1	207.307224067	207.694564887	690.300	1182.800	344.531	0.1625	775.195	1119.727	male.coda
8	Spectrogram 1	1	248.886205890	261.819085511	509.300	1603.800	602.930	8.8120	602.930	1205.859	great.call
9	Spectrogram 1	1	263.620969513	263.986791399	644.000	1347.000	602.930	0.1393	689.062	1291.992	male.coda
10	Spectrogram 1	1	264.029829268	264.331094351	677.700	1094.500	258.398	0.1335	775.195	1033.594	male.coda
11	Spectrogram 1	1	264.374132220	264.782991975	648.300	926.100	172.266	0.2554	689.062	861.328	male.coda
12	Spectrogram 1	1	300.883059327	313.019738372	505.100	1582.700	516.797	7.3607	602.930	1119.727	great.call
13	Spectrogram 1	1	314.353912310	314.719734196	618.800	1321.800	602.930	0.1625	689.062	1291.992	male.coda
14	Spectrogram 1	1	314.827328869	314.999480344	703.000	1102.900	258.398	0.1161	775.195	1033.594	male.coda
15	Spectrogram 1	1	315.214669689	315.558972641	442.000	837.700	258.398	0.2090	516.797	775.195	male.coda
16	Spectrogram 1	1	352.091836569	362.786747004	446.200	1629.000	516.797	7.5233	602.930	1119.727	great.call
17	Spectrogram 1	1	363.109531022	363.389277170	559.900	1363.900	516.797	0.1567	689.062	1205.859	male.coda
18	Spectrogram 1	1	363.475352908	363.776617990	677.700	1111.300	258.398	0.1451	775.195	1033.594	male.coda
19	Spectrogram 1	1	363.841174794	364.314591352	660.900	1048.100	344.531	0.2554	689.062	1033.594	male.coda
20	Spectrogram 1	1	411.641691528	424.251787132	479.900	1456.500	516.797	9.6073	602.930	1119.727	great.call
21	Spectrogram 1	1	425.047987708	425.349252790	572.500	1283.900	430.664	0.1161	689.062	1119.727	male.coda
22	Spectrogram 1	1	425.413809594	425.779631480	686.100	1140.800	344.531	0.1741	775.195	1119.727	male.coda
23	Spectrogram 1	1	425.865707218	426.382161645	673.500	1048.100	344.531	0.2728	689.062	1033.594	male.coda
24	Spectrogram 1	1	462.689004522	474.352267009	467.200	1608.000	516.797	8.5624	602.930	1119.727	great.call
25	Spectrogram 1	1	476.224414308	476.611755129	568.300	1334.400	516.797	0.1567	689.062	1205.859	male.coda
26	Spectrogram 1	1	476.633274063	476.977577015	690.300	1157.600	258.398	0.1509	775.195	1033.594	male.coda
27	Spectrogram 1	1	477.063652753	477.278842098	635.600	1014.500	258.398	0.1683	689.062	947.461	male.coda
28	Spectrogram 1	1	527.653506588	540.091450716	479.900	1578.500	516.797	9.3112	602.930	1119.727	great.call
29	Spectrogram 1	1	540.823094488	541.059802768	644.000	1342.800	602.930	0.1335	689.062	1291.992	male.coda
30	Spectrogram 1	1	541.253473178	541.468662523	677.700	1174.400	344.531	0.1509	775.195	1119.727	male.coda
31	Spectrogram 1	1	541.619295064	541.963598016	707.200	1048.100	172.266	0.1916	775.195	947.461	male.coda
32	Spectrogram 1	1	542.049673754	542.286382033	698.800	1052.400	258.398	0.1219	775.195	1033.594	male.coda
33	Spectrogram 1	1	578.055251067	598.269509482	496.700	1435.400	516.797	17.3743	602.930	1119.727	great.call
34	Spectrogram 1	1	634.135286441	646.874495652	471.500	1603.800	602.930	9.1661	602.930	1205.859	great.call
35	Spectrogram 1	1	690.433218967	703.473693260	492.500	1536.400	516.797	8.8758	602.930	1119.727	great.call
36	Spectrogram 1	1	741.378352492	754.053004899	463.000	1401.700	602.930	9.1603	602.930	1205.859	great.call
37	Spectrogram 1	1	754.655535064	755.021356950	517.800	1342.800	516.797	0.1567	689.062	1205.859	male.coda
38	Spectrogram 1	1	755.107432688	755.451735640	728.200	1077.600	258.398	0.2496	775.195	1033.594	male.coda
39	Spectrogram 1	1	816.254814492	829.295288785	408.300	1565.900	602.930	8.4579	602.930	1205.859	great.call
40	Spectrogram 1	1	830.973765674	831.425663299	551.400	1313.300	516.797	0.0929	689.062	1205.859	male.coda
41	Spectrogram 1	1	831.490220102	831.942117726	665.100	1224.900	344.531	0.0929	775.195	1119.727	male.coda
42	Spectrogram 1	1	832.178826005	832.695280433	564.100	1052.400	258.398	0.0755	689.062	947.461	male.coda
43	Spectrogram 1	1	875.428160337	888.339521024	463.000	1439.600	602.930	7.8541	602.930	1205.859	great.call
44	Spectrogram 1	1	888.683823975	889.071164796	597.700	1229.200	430.664	0.1161	689.062	1119.727	male.coda
45	Spectrogram 1	1	889.092683730	889.350910944	740.900	1145.000	344.531	0.0813	775.195	1119.727	male.coda
46	Spectrogram 1	1	889.415467748	890.147111520	669.300	1039.700	344.531	0.3425	689.062	1033.594	male.coda
