Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	236.250301882	250.131851897	440.5	1268.0	473.730	9.7415	581.396	1055.127	great.call
2	Spectrogram 1	1	252.758838454	253.063015845	696.5	1035.8	226.099	0.2177	710.596	936.694	male.coda
3	Spectrogram 1	1	286.342330404	299.864398048	428.6	1464.4	419.897	8.8707	581.396	1001.294	great.call
4	Spectrogram 1	1	301.717114882	301.993639783	672.7	1125.1	226.099	0.1361	753.662	979.761	male.coda
5	Spectrogram 1	1	302.131902234	302.408427134	708.4	1089.4	150.732	0.1633	850.562	1001.294	male.coda
6	Spectrogram 1	1	334.326730730	346.770351262	464.3	1518.0	441.431	7.5102	602.930	1044.360	great.call
7	Spectrogram 1	1	348.954897977	349.314380348	613.2	1148.9	301.465	0.1905	721.362	1022.827	male.coda
8	Spectrogram 1	1	349.452642799	349.729167699	773.9	1107.3	96.899	0.1361	861.328	958.228	male.coda
9	Spectrogram 1	1	393.842261263	406.424144245	472.3	1231.6	473.730	7.9456	592.163	1065.894	great.call
10	Spectrogram 1	1	409.183438313	409.791793094	711.5	1201.7	312.231	0.2177	764.429	1076.660	male.coda
12	Spectrogram 1	1	478.264356804	492.671304130	430.5	1279.5	452.197	9.5510	581.396	1033.594	great.call
13	Spectrogram 1	1	494.908782220	495.240612100	627.8	1094.1	204.565	0.1905	764.429	968.994	male.coda
14	Spectrogram 1	1	495.323569571	495.600094471	759.3	1106.1	139.966	0.1633	850.562	990.527	male.coda
15	Spectrogram 1	1	524.950298140	538.582975744	412.5	1411.0	430.664	8.8980	581.396	1012.061	great.call
16	Spectrogram 1	1	541.213627328	541.545457209	657.7	1040.3	215.332	0.1088	742.896	958.228	male.coda
17	Spectrogram 1	1	541.711372150	541.932592070	490.3	1118.0	344.531	0.1088	624.463	968.994	male.coda
18	Spectrogram 1	1	541.932592070	542.430336891	484.3	1046.3	355.298	0.1088	602.930	958.228	male.coda
19	Spectrogram 1	1	575.195039986	588.440582729	406.6	1309.4	387.598	8.7075	581.396	968.994	great.call
20	Spectrogram 1	1	54.152112393	66.678690394	424.5	1423.0	441.431	8.3810	592.163	1033.594	great.call
21	Spectrogram 1	1	102.100489521	114.378195112	442.4	1357.2	484.497	8.3537	592.163	1076.660	great.call
22	Spectrogram 1	1	145.288973645	157.953814097	460.4	1291.4	419.897	9.4694	581.396	1001.294	great.call
