Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	44.011306967	57.881269051	451.4	1489.1	9.1156	613.696	602.930	1216.626	great.call
2	Spectrogram 1	1	83.115721095	96.292185074	421.9	1569.3	8.5170	667.529	602.930	1270.459	great.call
3	Spectrogram 1	1	125.195603124	138.776607664	375.4	1548.2	8.0000	624.463	613.696	1238.159	great.call
4	Spectrogram 1	1	163.664310657	176.494025584	362.8	1653.7	7.2653	570.630	602.930	1173.560	great.call
5	Spectrogram 1	1	205.484528295	216.956142768	367.0	1641.0	7.7823	667.529	602.930	1270.459	great.call
6	Spectrogram 1	1	246.152228518	258.207334984	430.3	1666.3	7.0748	645.996	592.163	1238.159	great.call
7	Spectrogram 1	1	286.942153612	300.059744038	392.3	1560.9	8.0000	592.163	592.163	1184.326	great.call
8	Spectrogram 1	1	303.333792335	303.905899083	649.7	1079.9	0.1088	183.032	764.429	947.461	male.coda
9	Spectrogram 1	1	303.987628618	304.375843911	712.9	1037.8	0.0816	150.732	796.729	947.461	male.coda
10	Spectrogram 1	1	304.559735366	304.968383043	704.5	1046.2	0.1361	183.032	764.429	947.461	male.coda
11	Spectrogram 1	1	331.356324347	343.942672794	434.5	1489.1	6.7483	592.163	602.930	1195.093	great.call
12	Spectrogram 1	1	345.686863385	346.177240597	687.6	1092.6	0.1633	204.565	764.429	968.994	male.coda
13	Spectrogram 1	1	346.320267284	346.606320658	704.5	1008.2	0.1088	107.666	796.729	904.395	male.coda
14	Spectrogram 1	1	373.676106691	386.711967582	375.4	1544.0	7.5102	559.863	613.696	1173.560	great.call
15	Spectrogram 1	1	389.546650578	389.853136336	679.2	1092.6	0.1088	193.799	807.495	1001.294	male.coda
16	Spectrogram 1	1	389.975730639	390.384378316	729.8	957.6	0.1633	107.666	785.962	893.628	male.coda
17	Spectrogram 1	1	423.223672654	435.462670575	464.0	1506.0	7.2381	635.229	613.696	1248.926	great.call
18	Spectrogram 1	1	441.523098680	441.952178741	523.1	772.0	0.1361	96.899	581.396	678.296	male.coda
19	Spectrogram 1	1	442.299529266	442.708176943	527.3	818.4	0.0816	107.666	624.463	732.129	male.coda
20	Spectrogram 1	1	465.819360771	478.344412066	426.1	1565.1	7.8912	602.930	602.930	1205.859	great.call
21	Spectrogram 1	1	480.052880510	480.359366267	662.3	1008.2	0.1361	172.266	732.129	904.395	male.coda
22	Spectrogram 1	1	480.665852025	481.013202550	691.8	945.0	0.1088	96.899	753.662	850.562	male.coda
23	Spectrogram 1	1	529.242811163	542.973373105	413.4	1577.7	8.0816	549.097	613.696	1162.793	great.call
24	Spectrogram 1	1	545.118773408	545.568285852	658.1	1071.5	0.1361	226.099	764.429	990.527	male.coda
25	Spectrogram 1	1	545.609150620	545.956501145	696.1	1050.4	0.1361	161.499	785.962	947.461	male.coda
26	Spectrogram 1	1	580.269222921	591.282277812	442.9	1632.6	7.2925	549.097	602.930	1152.026	great.call
27	Spectrogram 1	1	594.755783065	595.021404055	641.2	1105.3	0.1088	172.266	775.195	947.461	male.coda
28	Spectrogram 1	1	595.103133590	595.470916499	734.0	999.8	0.1088	129.199	796.729	925.928	male.coda
29	Spectrogram 1	1	595.634375570	596.002158479	696.1	974.5	0.0816	118.433	785.962	904.395	male.coda
30	Spectrogram 1	1	632.613454388	645.261099986	383.9	1510.2	8.0544	506.030	592.163	1098.193	great.call
31	Spectrogram 1	1	646.037530572	646.425745865	662.3	1063.1	0.1905	183.032	764.429	947.461	male.coda
32	Spectrogram 1	1	646.507475400	646.834393542	712.9	1004.0	0.1361	118.433	785.962	904.395	male.coda
33	Spectrogram 1	1	646.854825926	647.386067905	670.7	1025.1	0.3265	183.032	742.896	925.928	male.coda
34	Spectrogram 1	1	697.270561969	709.468695122	480.9	1603.0	7.5918	527.563	602.930	1130.493	great.call
35	Spectrogram 1	1	710.796800072	711.123718214	645.4	1054.6	0.1633	161.499	721.362	882.861	male.coda
36	Spectrogram 1	1	711.205447749	711.573230658	691.8	1050.4	0.1361	129.199	785.962	915.161	male.coda
37	Spectrogram 1	1	760.035171555	771.885954183	438.7	1510.2	7.3197	559.863	613.696	1173.560	great.call
38	Spectrogram 1	1	773.459247739	773.786165880	615.9	1063.1	0.1633	226.099	721.362	947.461	male.coda
39	Spectrogram 1	1	773.847463032	774.194813557	729.8	1050.4	0.1361	161.499	796.729	958.228	male.coda
40	Spectrogram 1	1	816.481170010	829.782651891	409.2	1590.4	8.0544	473.730	602.930	1076.660	great.call
41	Spectrogram 1	1	831.044178972	831.432394265	679.2	1160.1	0.2449	290.698	753.662	1044.360	male.coda
42	Spectrogram 1	1	831.514123801	831.800177174	717.2	1092.6	0.1905	247.632	775.195	1022.827	male.coda
43	Spectrogram 1	1	831.881906710	832.229257235	704.5	949.2	0.2449	129.199	764.429	893.628	male.coda
44	Spectrogram 1	1	832.249689619	832.740066831	696.1	970.3	0.2721	150.732	742.896	893.628	male.coda
45	Spectrogram 1	1	875.279325593	887.068811069	480.9	1560.9	7.6190	484.497	602.930	1087.427	great.call
46	Spectrogram 1	1	887.824809271	888.090430261	641.2	1033.5	0.1905	247.632	710.596	958.228	male.coda
47	Spectrogram 1	1	888.213024564	888.478645554	746.7	915.4	0.2177	118.433	764.429	882.861	male.coda
48	Spectrogram 1	1	888.539942706	888.866860847	683.4	911.2	0.1361	150.732	710.596	861.328	male.coda
