Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	50.326092789	65.477454487	454.6	1650.1	775.195	10.4218	678.296	1453.491	great.call
2	Spectrogram 1	1	83.811893274	97.818556082	412.5	1717.4	818.262	9.9864	678.296	1496.558	great.call
3	Spectrogram 1	1	120.266729479	132.874315865	463.0	1683.8	775.195	9.3061	667.529	1442.725	great.call
4	Spectrogram 1	1	165.119811780	178.140761654	471.5	1784.8	807.495	9.0068	678.296	1485.791	great.call
5	Spectrogram 1	1	214.555583912	227.385750638	412.5	1793.2	775.195	8.8163	678.296	1453.491	great.call
6	Spectrogram 1	1	254.464308951	267.071895338	463.0	1784.8	775.195	8.3537	667.529	1442.725	great.call
7	Spectrogram 1	1	305.008981106	318.316105704	437.8	1709.0	753.662	8.8435	667.529	1421.191	great.call
8	Spectrogram 1	1	353.037888275	358.809078513	353.6	1439.6	355.298	3.6190	667.529	1022.827	great.call
9	Spectrogram 1	1	439.282052584	452.525582798	463.0	1843.7	764.429	8.6531	678.296	1442.725	great.call
10	Spectrogram 1	1	506.321249613	519.469388253	463.0	1877.4	764.429	8.8435	689.062	1453.491	great.call
11	Spectrogram 1	1	555.391354044	568.157926388	446.2	1843.7	753.662	8.6259	667.529	1421.191	great.call
12	Spectrogram 1	1	616.675366836	629.600925137	429.4	1709.0	732.129	9.5510	667.529	1399.658	great.call
13	Spectrogram 1	1	669.966493669	682.860254778	454.6	1759.5	721.362	9.8776	678.296	1399.658	great.call
14	Spectrogram 1	1	787.844433522	801.103862333	404.1	1709.0	667.529	9.6054	667.529	1335.059	great.call
15	Spectrogram 1	1	846.175309190	858.814692769	437.8	1944.8	732.129	8.0816	678.296	1410.425	great.call
16	Spectrogram 1	1	935.615198639	948.636148514	412.5	1793.2	753.662	8.4626	667.529	1421.191	great.call
17	Spectrogram 1	1	1040.702986416	1053.358268589	454.6	1843.7	699.829	8.5170	667.529	1367.358	great.call
18	Spectrogram 1	1	1100.746908743	1112.654956919	412.5	1793.2	721.362	8.4898	678.296	1399.658	great.call
19	Spectrogram 1	1	1189.232882450	1202.635398621	454.6	1784.8	742.896	8.6531	656.763	1399.658	great.call
20	Spectrogram 1	1	1257.365081609	1270.195248335	437.8	1776.4	742.896	8.9796	656.763	1399.658	great.call
21	Spectrogram 1	1	1355.310505647	1370.064402453	437.8	1616.4	710.596	10.5306	656.763	1367.358	great.call
22	Spectrogram 1	1	1421.050019505	1434.182259550	446.2	1843.7	678.296	8.5714	656.763	1335.059	great.call
