Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	13.740231508	24.714950318	491.5	1835.4	549.097	7.1837	667.529	1216.626	great.call
2	Spectrogram 1	1	29.935480928	30.182921538	553.7	1039.0	236.865	0.1905	656.763	893.628	male.coda
3	Spectrogram 1	1	30.197476868	30.386696158	597.3	970.6	226.099	0.1361	678.296	904.395	male.coda
4	Spectrogram 1	1	30.430362148	30.605026108	628.4	964.4	215.332	0.1361	678.296	893.628	male.coda
5	Spectrogram 1	1	30.663247428	30.808800727	572.4	1001.7	247.632	0.1361	667.529	915.161	male.coda
6	Spectrogram 1	1	30.837911387	31.041686007	603.5	958.2	226.099	0.1361	689.062	915.161	male.coda
7	Spectrogram 1	1	53.648318325	64.200932565	535.1	1735.9	678.296	7.7279	667.529	1345.825	great.call
8	Spectrogram 1	1	96.870918153	107.496309044	578.6	1443.5	484.497	8.4626	667.529	1152.026	great.call
9	Spectrogram 1	1	140.441039124	150.731657425	547.5	1424.8	409.131	8.0544	678.296	1087.427	great.call
10	Spectrogram 1	1	184.717143241	194.847652912	479.1	1530.6	656.763	7.4014	667.529	1324.292	great.call
11	Spectrogram 1	1	242.404326090	253.175270280	448.0	1518.1	452.197	8.0816	667.529	1119.727	great.call
12	Spectrogram 1	1	292.830107225	303.091614866	522.6	1418.6	473.730	7.3741	667.529	1141.260	great.call
13	Spectrogram 1	1	304.721911109	305.085794358	572.4	846.2	129.199	0.1361	656.763	785.962	male.coda
14	Spectrogram 1	1	305.187681668	305.537009588	609.7	976.8	139.966	0.1361	732.129	872.095	male.coda
15	Spectrogram 1	1	305.580675578	305.886337508	578.6	777.7	118.433	0.1905	624.463	742.896	male.coda
16	Spectrogram 1	1	340.614045869	351.807094630	504.0	1418.6	462.964	7.4014	667.529	1130.493	great.call
17	Spectrogram 1	1	353.324661527	353.688544777	578.6	1020.4	183.032	0.0816	721.362	904.395	male.coda
18	Spectrogram 1	1	353.965096047	354.227091987	684.4	1014.2	172.266	0.0816	753.662	925.928	male.coda
19	Spectrogram 1	1	354.707417876	354.998524476	647.1	964.4	161.499	0.1088	742.896	904.395	male.coda
20	Spectrogram 1	1	381.045635895	391.030592266	510.2	1474.6	419.897	7.1020	678.296	1098.193	great.call
21	Spectrogram 1	1	431.698881065	442.688155205	423.1	1393.7	409.131	7.8367	667.529	1076.660	great.call
22	Spectrogram 1	1	444.614978836	445.007972746	672.0	1101.3	204.565	0.0816	764.429	968.994	male.coda
23	Spectrogram 1	1	445.109860055	445.430077315	628.4	970.6	129.199	0.0816	742.896	872.095	male.coda
24	Spectrogram 1	1	445.575630615	445.968624525	597.3	989.3	161.499	0.0816	721.362	882.861	male.coda
25	Spectrogram 1	1	477.126663028	488.727261028	441.7	1468.3	419.897	7.2109	667.529	1087.427	great.call
26	Spectrogram 1	1	489.897306783	490.173858053	634.6	1026.6	193.799	0.0816	710.596	904.395	male.coda
27	Spectrogram 1	1	490.290300693	490.610517953	665.7	1020.4	161.499	0.1088	764.429	925.928	male.coda
28	Spectrogram 1	1	531.009383764	542.333430494	274.4	1446.7	355.298	6.9660	667.529	1022.827	great.call
29	Spectrogram 1	1	543.774408162	544.269289382	604.9	1047.6	150.732	0.1361	785.962	936.694	male.coda
30	Spectrogram 1	1	544.385732022	544.691393952	661.0	1060.1	193.799	0.1361	742.896	936.694	male.coda
31	Spectrogram 1	1	581.513362206	591.934978477	430.3	1434.2	344.531	6.4762	667.529	1012.061	great.call
32	Spectrogram 1	1	593.285109438	593.561660708	579.9	873.0	86.133	0.1088	678.296	764.429	male.coda
33	Spectrogram 1	1	593.823656648	594.129318578	654.8	885.5	107.666	0.1088	721.362	829.028	male.coda
34	Spectrogram 1	1	594.333093197	594.595089137	636.1	991.5	139.966	0.1633	732.129	872.095	male.coda
35	Spectrogram 1	1	637.834150814	649.289195514	424.0	1384.4	290.698	6.5306	667.529	958.228	great.call
36	Spectrogram 1	1	652.251354549	652.615237798	617.4	1053.9	226.099	0.1905	710.596	936.694	male.coda
37	Spectrogram 1	1	652.702569778	653.051897698	636.1	1010.2	161.499	0.1633	742.896	904.395	male.coda
38	Spectrogram 1	1	653.081008358	653.430336278	623.6	929.1	172.266	0.1905	710.596	882.861	male.coda
39	Spectrogram 1	1	708.655861581	718.859147902	492.6	1421.8	441.431	6.6667	667.529	1108.960	great.call
40	Spectrogram 1	1	766.040996968	777.103047759	486.4	1415.5	409.131	6.5578	667.529	1076.660	great.call
41	Spectrogram 1	1	779.366550954	779.584880904	617.4	1004.0	150.732	0.1088	710.596	861.328	male.coda
42	Spectrogram 1	1	779.744989534	780.283536743	748.3	1041.4	129.199	0.4082	764.429	893.628	male.coda
43	Spectrogram 1	1	780.458200703	780.618309333	617.4	916.7	96.899	0.0816	732.129	829.028	male.coda
44	Spectrogram 1	1	824.208506164	834.586456444	424.0	1403.1	322.998	6.2857	667.529	990.527	great.call
45	Spectrogram 1	1	836.345943879	836.578829159	604.9	972.8	193.799	0.1088	689.062	882.861	male.coda
46	Spectrogram 1	1	836.753493119	836.971823069	636.1	1010.2	118.433	0.0544	764.429	882.861	male.coda
47	Spectrogram 1	1	837.175597689	837.321150988	598.6	935.4	139.966	0.0544	721.362	861.328	male.coda
48	Spectrogram 1	1	837.393927638	837.641368248	555.0	935.4	139.966	0.0816	689.062	829.028	male.coda
49	Spectrogram 1	1	837.685034238	838.150804798	561.2	823.1	75.366	0.2177	656.763	732.129	male.coda
50	Spectrogram 1	1	838.165360128	838.412800738	486.4	760.8	75.366	0.1088	624.463	699.829	male.coda
51	Spectrogram 1	1	873.153257195	884.113420675	517.6	1403.1	301.465	7.3197	667.529	968.994	great.call
52	Spectrogram 1	1	886.063934177	886.369596107	561.2	1047.6	226.099	0.1088	689.062	915.161	male.coda
