Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Call type
1	Spectrogram 1	1	7.706560779	17.775069106	398.9	1714.5	6.0952	667.529	1012.061	344.531	great.call
2	Spectrogram 1	1	19.754719156	20.126040030	547.7	756.0	0.1361	613.696	699.829	86.133	male.coda
3	Spectrogram 1	1	20.483079332	20.954371212	595.3	976.3	0.2177	699.829	872.095	172.266	male.coda
4	Spectrogram 1	1	21.197157937	21.739857677	613.2	1029.9	0.2993	656.763	915.161	258.398	male.coda
5	Spectrogram 1	1	86.441220151	98.109264552	398.9	1547.8	7.0476	678.296	990.527	312.231	great.call
6	Spectrogram 1	1	100.392325934	100.692238948	589.3	916.8	0.1361	656.763	829.028	172.266	male.coda
7	Spectrogram 1	1	100.849336241	101.163530828	458.4	1000.1	0.1633	721.362	893.628	172.266	male.coda
8	Spectrogram 1	1	101.177812400	101.492006986	583.4	773.9	0.1633	667.529	732.129	64.600	male.coda
9	Spectrogram 1	1	175.917226429	185.714384886	458.4	1357.3	6.6939	667.529	1033.594	366.064	great.call
10	Spectrogram 1	1	187.442262378	187.599359671	583.4	851.3	0.0816	645.996	807.495	161.499	male.coda
11	Spectrogram 1	1	187.627922815	187.756456964	779.8	1059.6	0.0544	839.795	958.228	118.433	male.coda
12	Spectrogram 1	1	187.842146396	188.027806833	678.6	940.6	0.1088	742.896	893.628	150.732	male.coda
13	Spectrogram 1	1	239.452987824	250.621177202	452.4	1387.1	8.4898	678.296	1055.127	376.831	great.call
14	Spectrogram 1	1	252.424057079	252.723970093	571.5	1071.5	0.1905	678.296	958.228	279.932	male.coda
15	Spectrogram 1	1	252.852504242	253.195261972	631.0	958.4	0.1633	742.896	872.095	129.199	male.coda
16	Spectrogram 1	1	253.209543544	254.237816735	613.2	815.6	0.3537	689.062	764.429	75.366	male.coda
17	Spectrogram 1	1	300.960765664	311.914731460	416.7	1387.1	7.7823	667.529	1022.827	355.298	great.call
18	Spectrogram 1	1	315.495618800	315.695560810	583.4	940.6	0.1088	667.529	829.028	161.499	male.coda
19	Spectrogram 1	1	315.881221247	316.066881684	452.4	1047.7	0.1088	710.596	904.395	193.799	male.coda
20	Spectrogram 1	1	316.152571117	316.509610419	488.1	952.5	0.2177	624.463	882.861	258.398	male.coda
21	Spectrogram 1	1	316.466765703	316.909494438	500.1	940.6	0.2721	613.696	829.028	215.332	male.coda
22	Spectrogram 1	1	317.009465442	317.295096884	625.1	833.4	0.1361	656.763	785.962	129.199	male.coda
23	Spectrogram 1	1	339.763122644	350.474301715	476.2	1399.0	6.5578	667.529	1033.594	366.064	great.call
24	Spectrogram 1	1	351.634510848	351.820171285	571.5	863.2	0.0544	645.996	764.429	118.433	male.coda
25	Spectrogram 1	1	351.863016001	352.162929015	767.9	1119.2	0.1088	850.562	1022.827	172.266	male.coda
26	Spectrogram 1	1	352.205773732	352.419997313	494.1	970.3	0.1088	732.129	904.395	172.266	male.coda
27	Spectrogram 1	1	352.491405174	352.705628755	476.2	898.9	0.0816	678.296	785.962	107.666	male.coda
28	Spectrogram 1	1	352.748473471	353.105512774	565.5	773.9	0.1361	635.229	721.362	86.133	male.coda
29	Spectrogram 1	1	461.220479007	472.174444803	422.7	1428.7	7.4014	667.529	1033.594	366.064	great.call
30	Spectrogram 1	1	474.152394276	474.523715150	553.6	1053.7	0.1633	678.296	882.861	204.565	male.coda
31	Spectrogram 1	1	474.680812443	474.909317597	619.1	1006.1	0.1633	732.129	893.628	161.499	male.coda
32	Spectrogram 1	1	474.937880741	475.366327904	642.9	839.4	0.2721	699.829	785.962	86.133	male.coda
33	Spectrogram 1	1	475.423454192	476.023280220	577.4	779.8	0.2721	678.296	753.662	75.366	male.coda
34	Spectrogram 1	1	507.982870858	513.452712971	446.5	1315.6	4.2177	667.529	1033.594	366.064	great.call
35	Spectrogram 1	1	514.866588608	515.123656906	529.8	988.2	0.1361	689.062	915.161	226.099	male.coda
36	Spectrogram 1	1	515.309317343	515.566385641	678.6	1095.4	0.1361	785.962	990.527	204.565	male.coda
37	Spectrogram 1	1	515.837735511	516.209056385	631.0	1137.0	0.1633	796.729	1022.827	226.099	male.coda
38	Spectrogram 1	1	516.251901101	516.451843111	672.7	881.0	0.1633	699.829	850.562	150.732	male.coda
39	Spectrogram 1	1	516.480406255	516.951698134	637.0	815.6	0.2177	667.529	764.429	96.899	male.coda
40	Spectrogram 1	1	644.765670262	655.462567761	500.1	1345.4	6.0408	667.529	979.761	312.231	great.call
41	Spectrogram 1	1	657.203025929	657.588628375	565.5	1053.7	0.1361	689.062	925.928	236.865	male.coda
42	Spectrogram 1	1	657.774288812	658.102764971	642.9	988.2	0.1361	721.362	882.861	161.499	male.coda
43	Spectrogram 1	1	658.945377724	659.402388031	589.3	988.2	0.1088	699.829	861.328	161.499	male.coda
44	Spectrogram 1	1	659.545203752	659.845116766	589.3	857.2	0.1088	667.529	775.195	107.666	male.coda
