Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	35.676988385	53.620375794	500.054	1589.457	635.229	9.9864	678.296	1313.525	great.call
2	Spectrogram 1	1	112.111840870	130.614710291	482.195	1529.927	635.229	11.9728	678.296	1313.525	great.call
3	Spectrogram 1	1	146.804200414	157.754062664	351.228	1416.820	538.330	8.0272	624.463	1162.793	great.call
4	Spectrogram 1	1	170.804219520	186.110048869	511.960	1559.692	592.163	9.6871	678.296	1270.459	great.call
5	Spectrogram 1	1	195.704059520	206.354199263	470.289	1464.444	527.563	9.0068	624.463	1152.026	great.call
6	Spectrogram 1	1	207.573070790	207.812848796	750.081	988.202	139.966	0.0816	785.962	925.928	male.coda
7	Spectrogram 1	1	207.852811797	208.092589802	773.893	1047.732	161.499	0.0816	796.729	958.228	male.coda
8	Spectrogram 1	1	208.172515804	208.412293810	696.504	1000.108	172.266	0.0816	764.429	936.694	male.coda
9	Spectrogram 1	1	236.324516049	247.014618792	464.336	1428.726	462.964	8.1905	624.463	1087.427	great.call
10	Spectrogram 1	1	258.639163977	274.484493838	553.631	1643.035	592.163	10.6667	678.296	1270.459	great.call
11	Spectrogram 1	1	308.758411156	319.868125409	488.148	1512.068	506.030	8.2721	635.229	1141.260	great.call
12	Spectrogram 1	1	320.947126434	321.186904439	726.269	869.141	53.833	0.0816	753.662	807.495	male.coda
13	Spectrogram 1	1	321.506608447	321.826312454	571.490	1113.215	247.632	0.1905	710.596	958.228	male.coda
14	Spectrogram 1	1	321.846293954	322.265905464	571.490	1256.088	322.998	0.1905	678.296	1001.294	male.coda
15	Spectrogram 1	1	322.425757468	322.985239480	553.631	1142.981	333.765	0.3265	667.529	1001.294	male.coda
16	Spectrogram 1	1	332.331893612	349.755762010	488.148	1654.941	602.930	12.2177	689.062	1291.992	great.call
17	Spectrogram 1	1	374.895516987	385.405786226	535.772	1518.021	462.964	7.2109	645.996	1108.960	great.call
18	Spectrogram 1	1	414.499397329	431.943247227	494.101	1595.410	624.463	12.7075	678.296	1302.759	great.call
19	Spectrogram 1	1	465.852399872	476.742317620	494.101	1565.645	495.264	8.4082	613.696	1108.960	great.call
20	Spectrogram 1	1	484.228211873	502.930896300	529.819	1619.222	602.930	14.2313	689.062	1291.992	great.call
21	Spectrogram 1	1	522.530677426	533.140854168	511.960	1541.833	419.897	8.1361	624.463	1044.360	great.call
22	Spectrogram 1	1	546.631257456	564.055125853	452.430	1637.082	624.463	12.3810	678.296	1302.759	great.call
23	Spectrogram 1	1	591.992290893	603.241875650	506.007	1535.880	484.497	8.7075	635.229	1119.727	great.call
24	Spectrogram 1	1	637.915423605	654.380179980	494.101	1666.847	592.163	11.4830	689.062	1281.226	great.call
25	Spectrogram 1	1	674.931630863	685.541807605	500.054	1488.256	441.431	7.8367	624.463	1065.894	great.call
26	Spectrogram 1	1	702.229250965	718.394284834	535.772	1583.504	581.396	10.9660	689.062	1270.459	great.call
