Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	62.137380738	74.427210789	437.969	1489.095	441.431	9.9864	667.529	1108.960	great.call
2	Spectrogram 1	1	154.887194417	165.112333020	350.375	1423.400	495.264	7.9456	667.529	1162.793	great.call
3	Spectrogram 1	1	170.373735782	170.668691704	427.020	744.548	107.666	0.0816	549.097	656.763	male.coda
4	Spectrogram 1	1	171.160284906	171.479820487	558.411	919.735	193.799	0.1088	602.930	796.729	male.coda
5	Spectrogram 1	1	171.710422378	171.918987710	525.563	864.989	118.433	0.0544	602.930	721.362	male.coda
6	Spectrogram 1	1	172.162313930	172.562064150	656.954	930.685	75.366	0.2449	699.829	775.195	male.coda
7	Spectrogram 1	1	228.255327529	238.196941690	427.020	1532.892	549.097	7.9728	645.996	1195.093	great.call
8	Spectrogram 1	1	240.068762568	240.277327900	492.715	864.989	96.899	0.0544	592.163	689.062	male.coda
9	Spectrogram 1	1	240.555415010	240.868263008	514.614	1018.278	226.099	0.1088	645.996	872.095	male.coda
10	Spectrogram 1	1	241.146350117	241.459198115	536.512	1018.278	204.565	0.1088	635.229	839.795	male.coda
11	Spectrogram 1	1	293.280309340	303.082879946	372.274	1510.994	484.497	7.9456	656.763	1141.260	great.call
12	Spectrogram 1	1	404.271300070	415.012414671	339.426	1664.283	538.330	8.1361	678.296	1216.626	great.call
13	Spectrogram 1	1	418.344719486	418.622806595	514.614	1083.974	236.865	0.1088	667.529	904.395	male.coda
14	Spectrogram 1	1	418.866132816	419.126839481	591.258	1018.278	161.499	0.0816	667.529	829.028	male.coda
15	Spectrogram 1	1	419.370165702	419.735155033	558.411	930.685	139.966	0.0816	624.463	764.429	male.coda
16	Spectrogram 1	1	419.961100809	420.308709696	459.868	908.786	107.666	0.0816	581.396	689.062	male.coda
17	Spectrogram 1	1	473.378579358	483.094247743	372.274	1642.385	398.364	8.0272	645.996	1044.360	great.call
18	Spectrogram 1	1	486.601410719	486.844736940	547.462	1062.075	258.398	0.0816	645.996	904.395	male.coda
19	Spectrogram 1	1	487.244487160	487.470432936	547.462	1007.329	204.565	0.0544	667.529	872.095	male.coda
20	Spectrogram 1	1	487.765900490	488.217792042	569.360	832.142	96.899	0.2449	667.529	764.429	male.coda
21	Spectrogram 1	1	488.756585817	489.052053371	569.360	1040.177	226.099	0.0816	645.996	872.095	male.coda
22	Spectrogram 1	1	558.276782870	568.531245029	416.071	1434.349	462.964	7.5646	656.763	1119.727	great.call
23	Spectrogram 1	1	570.508401798	570.751728019	541.959	1153.599	279.932	0.1088	645.996	925.928	male.coda
24	Spectrogram 1	1	570.908152018	571.221000016	603.897	1037.465	193.799	0.1361	689.062	882.861	male.coda
25	Spectrogram 1	1	571.377424015	571.568608903	588.413	944.558	129.199	0.0816	678.296	807.495	male.coda
26	Spectrogram 1	1	571.612060013	571.924908011	572.928	867.135	139.966	0.2449	645.996	785.962	male.coda
27	Spectrogram 1	1	605.723760762	614.068555367	433.567	1471.032	366.064	6.5034	645.996	1012.061	great.call
28	Spectrogram 1	1	616.170708681	616.379635792	557.444	1083.919	247.632	0.1088	678.296	925.928	male.coda
29	Spectrogram 1	1	616.650012053	616.822069674	588.413	1029.723	226.099	0.1088	678.296	904.395	male.coda
30	Spectrogram 1	1	616.871228994	617.325952706	565.186	789.712	64.600	0.2449	667.529	732.129	male.coda
31	Spectrogram 1	1	693.433436960	704.835008445	456.794	1354.898	527.563	8.4898	645.996	1173.560	great.call
32	Spectrogram 1	1	707.820758092	708.168366978	557.444	1091.661	279.932	0.1361	656.763	936.694	male.coda
33	Spectrogram 1	1	708.394312755	708.655019420	619.382	1021.980	204.565	0.1088	678.296	882.861	male.coda
34	Spectrogram 1	1	709.263334972	709.593563414	565.186	983.269	215.332	0.1088	624.463	839.795	male.coda
35	Spectrogram 1	1	786.757995808	798.698361068	480.021	1463.290	484.497	9.3878	656.763	1141.260	great.call
36	Spectrogram 1	1	801.405496499	801.753105386	549.702	1083.919	258.398	0.1088	667.529	925.928	male.coda
37	Spectrogram 1	1	802.013812051	802.274518716	572.928	998.754	204.565	0.1088	667.529	872.095	male.coda
38	Spectrogram 1	1	802.361420938	802.952356045	596.155	952.300	96.899	0.3810	667.529	764.429	male.coda
39	Spectrogram 1	1	910.032220187	922.076868113	472.279	1540.713	516.797	8.8707	635.229	1152.026	great.call
40	Spectrogram 1	1	924.193068437	924.523296879	611.640	975.527	172.266	0.1088	689.062	861.328	male.coda
41	Spectrogram 1	1	924.662340434	924.975188432	619.382	991.011	150.732	0.1088	689.062	839.795	male.coda
42	Spectrogram 1	1	924.992568876	925.687786650	588.413	967.784	96.899	0.4626	656.763	753.662	male.coda
