Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	31.006491151	40.927167193	512.430	1816.796	742.896	7.3197	645.996	1388.892	great.call
2	Spectrogram 1	1	42.098993896	42.652807894	659.947	885.106	64.600	0.2449	710.596	775.195	male.coda
3	Spectrogram 1	1	42.763570694	43.335845158	566.778	768.644	53.833	0.2721	635.229	689.062	male.coda
4	Spectrogram 1	1	80.787726677	91.468127617	481.373	1809.032	732.129	7.8095	667.529	1399.658	great.call
5	Spectrogram 1	1	92.752071073	93.305885070	667.711	865.695	75.366	0.2449	721.362	796.729	male.coda
6	Spectrogram 1	1	93.416647870	94.044303734	625.009	725.942	43.066	0.4354	645.996	689.062	male.coda
7	Spectrogram 1	1	94.173527000	94.413513065	555.132	636.655	43.066	0.1361	581.396	624.463	male.coda
8	Spectrogram 1	1	136.322536331	146.845002286	543.514	1630.541	764.429	8.0000	656.763	1421.191	great.call
9	Spectrogram 1	1	147.509579083	147.989551214	675.275	894.876	75.366	0.2721	710.596	785.962	male.coda
10	Spectrogram 1	1	148.118774480	148.580286145	603.904	779.585	64.600	0.2721	645.996	710.596	male.coda
11	Spectrogram 1	1	148.912574543	149.429467608	576.454	746.645	64.600	0.3537	602.930	667.529	male.coda
12	Spectrogram 1	1	183.995309515	194.333170804	549.004	1630.541	710.596	6.8844	678.296	1388.892	great.call
13	Spectrogram 1	1	195.791547664	196.382282595	686.255	966.246	86.133	0.2449	732.129	818.262	male.coda
14	Spectrogram 1	1	196.511505861	197.009938459	625.864	779.585	64.600	0.1633	645.996	710.596	male.coda
15	Spectrogram 1	1	262.351220227	273.889011844	488.613	1707.401	624.463	7.2653	667.529	1291.992	great.call
17	Spectrogram 1	1	275.069380384	275.475510649	680.765	878.406	86.133	0.1905	721.362	807.495	male.coda
18	Spectrogram 1	1	275.697036248	276.121626979	664.294	812.525	53.833	0.2721	699.829	753.662	male.coda
19	Spectrogram 1	1	276.730822377	277.118492175	620.374	796.055	64.600	0.1361	667.529	732.129	male.coda
20	Spectrogram 1	1	348.350704823	358.817789378	505.083	1597.601	710.596	6.9660	678.296	1388.892	great.call
21	Spectrogram 1	1	359.685431308	360.331547639	653.314	916.836	75.366	0.3810	710.596	785.962	male.coda
22	Spectrogram 1	1	360.405389505	360.811519770	625.864	828.996	53.833	0.2449	678.296	732.129	male.coda
23	Spectrogram 1	1	361.051505835	361.605319833	581.944	746.645	96.899	0.4626	613.696	710.596	male.coda
24	Spectrogram 1	1	420.949032261	431.009986551	527.044	1614.071	710.596	7.9184	645.996	1356.592	great.call
25	Spectrogram 1	1	431.637642415	432.099154080	647.824	878.406	86.133	0.2449	699.829	785.962	male.coda
26	Spectrogram 1	1	432.246837812	432.652968077	631.354	768.605	43.066	0.2449	678.296	721.362	male.coda
27	Spectrogram 1	1	432.856033210	433.151400675	554.494	691.745	43.066	0.1088	592.163	635.229	male.coda
28	Spectrogram 1	1	479.587242606	490.165089961	565.474	1641.521	753.662	7.9184	656.763	1410.425	great.call
29	Spectrogram 1	1	490.995810957	491.401941222	675.275	905.856	86.133	0.2449	721.362	807.495	male.coda
30	Spectrogram 1	1	491.549624955	491.881913353	636.844	801.545	53.833	0.2177	678.296	732.129	male.coda
31	Spectrogram 1	1	492.343425018	492.675713417	581.944	680.765	43.066	0.1633	613.696	656.763	male.coda
