Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	1273.881766159	1287.779965364	522.426	1597.304	559.863	9.4966	656.763	1216.626	great.call
2	Spectrogram 1	1	1290.506211443	1291.055337151	540.441	966.789	150.732	0.3265	656.763	807.495	male.coda
3	Spectrogram 1	1	1291.132167552	1291.549471624	600.490	1038.848	236.865	0.2993	689.062	925.928	male.coda
4	Spectrogram 1	1	1313.253777675	1326.044147492	414.338	1603.309	527.563	8.5170	656.763	1184.326	great.call
5	Spectrogram 1	1	1329.246546956	1329.718672619	618.505	1068.873	193.799	0.2993	699.829	893.628	male.coda
6	Spectrogram 1	1	1329.777688327	1330.043259013	636.520	1068.873	183.032	0.1361	689.062	872.095	male.coda
7	Spectrogram 1	1	1330.087520794	1330.249813990	576.471	1032.843	204.565	0.1361	678.296	882.861	male.coda
8	Spectrogram 1	1	1352.631073037	1364.198151780	504.412	1459.191	527.563	6.9932	667.529	1195.093	great.call
9	Spectrogram 1	1	1369.136246037	1369.578863846	576.471	1014.828	226.099	0.3265	656.763	882.861	male.coda
10	Spectrogram 1	1	1369.608371700	1369.918204166	588.480	1038.848	258.398	0.2449	656.763	915.161	male.coda
11	Spectrogram 1	1	1370.154266997	1370.464099464	660.539	936.765	139.966	0.1361	689.062	829.028	male.coda
12	Spectrogram 1	1	1370.523115172	1370.759178003	600.490	1044.853	236.865	0.1905	667.529	904.395	male.coda
13	Spectrogram 1	1	1395.427296307	1406.964867196	522.426	1531.250	581.396	7.9184	656.763	1238.159	great.call
14	Spectrogram 1	1	1410.308642449	1410.780768112	618.505	1104.902	258.398	0.3537	710.596	968.994	male.coda
15	Spectrogram 1	1	1410.810275966	1411.061092725	582.475	1140.931	258.398	0.1905	689.062	947.461	male.coda
16	Spectrogram 1	1	1411.120108432	1411.415186972	564.461	1032.843	269.165	0.2449	667.529	936.694	male.coda
17	Spectrogram 1	1	1411.636495876	1411.990590124	624.510	942.770	139.966	0.2177	678.296	818.262	male.coda
18	Spectrogram 1	1	1437.279267616	1448.802084578	546.446	1609.314	549.097	7.5646	667.529	1216.626	great.call
19	Spectrogram 1	1	1452.692650020	1453.194283537	588.480	1068.873	183.032	0.2993	678.296	861.328	male.coda
20	Spectrogram 1	1	1453.209037463	1453.548377784	618.505	1050.858	236.865	0.2449	678.296	915.161	male.coda
21	Spectrogram 1	1	1453.577885638	1453.902472031	576.471	1068.873	226.099	0.2177	667.529	893.628	male.coda
22	Spectrogram 1	1	1487.096445844	1500.095467697	534.436	1405.147	527.563	8.4626	667.529	1195.093	great.call
23	Spectrogram 1	1	1541.380793756	1552.668868913	540.441	1435.172	473.730	6.8571	656.763	1130.493	great.call
24	Spectrogram 1	1	1558.209605061	1558.548945381	642.525	1008.824	193.799	0.2449	699.829	893.628	male.coda
25	Spectrogram 1	1	1558.607961089	1558.873531774	594.485	1080.882	247.632	0.1905	678.296	925.928	male.coda
26	Spectrogram 1	1	1558.925170519	1559.109594606	588.480	1134.926	226.099	0.1361	689.062	915.161	male.coda
27	Spectrogram 1	1	1559.168610314	1559.389919218	594.485	1056.863	215.332	0.1361	699.829	915.161	male.coda
28	Spectrogram 1	1	1559.478442780	1559.707128648	570.466	1110.907	247.632	0.1905	667.529	915.161	male.coda
29	Spectrogram 1	1	1559.803029173	1559.994830224	588.480	1056.863	215.332	0.1361	667.529	882.861	male.coda
30	Spectrogram 1	1	1560.061222895	1560.304662690	582.475	1080.882	247.632	0.1633	656.763	904.395	male.coda
31	Spectrogram 1	1	1590.727706210	1603.563622673	546.446	1459.191	484.497	7.1837	656.763	1141.260	great.call
32	Spectrogram 1	1	1609.461655676	1610.066746581	552.451	1020.833	193.799	0.4354	624.463	818.262	male.coda
33	Spectrogram 1	1	1610.087611785	1610.317129024	570.466	1074.877	247.632	0.2177	667.529	915.161	male.coda
34	Spectrogram 1	1	1610.369292033	1610.588376671	618.505	1026.838	247.632	0.1633	678.296	925.928	male.coda
35	Spectrogram 1	1	1610.650972282	1610.801681525	570.466	1026.838	258.398	0.1088	678.296	936.694	male.coda
38	Spectrogram 1	1	1610.947737950	1611.114659579	588.480	930.760	139.966	0.1361	678.296	818.262	male.coda
39	Spectrogram 1	1	1611.250283402	1611.417205031	582.475	990.809	247.632	0.1361	645.996	893.628	male.coda
