Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	12.587100365	21.040202081	637.255	1408.497	527.344	6.6750	714.844	1242.188	great.call
2	Spectrogram 1	1	22.830848363	23.139355725	784.314	1284.314	363.281	0.1500	843.750	1207.031	male.coda
3	Spectrogram 1	1	23.524989928	23.818071922	790.850	1068.627	140.625	0.1500	820.312	960.938	male.coda
4	Spectrogram 1	1	50.080702706	58.518379053	601.307	1343.137	503.906	6.5500	714.844	1218.750	great.call
5	Spectrogram 1	1	59.690707029	60.060915863	787.582	1173.203	257.812	0.1750	843.750	1101.562	male.coda
6	Spectrogram 1	1	60.461975433	60.785908163	741.830	1058.824	175.781	0.1750	808.594	984.375	male.coda
7	Spectrogram 1	1	96.373371756	105.073279362	601.307	1395.425	480.469	7.0000	714.844	1195.312	great.call
8	Spectrogram 1	1	105.947019559	106.240101552	767.974	1281.046	351.562	0.1750	820.312	1171.875	male.coda
9	Spectrogram 1	1	106.795414804	107.150198270	761.438	1062.092	187.500	0.1500	796.875	984.375	male.coda
10	Spectrogram 1	1	137.199211130	145.868267999	601.307	1405.229	515.625	6.4500	714.844	1230.469	great.call
11	Spectrogram 1	1	147.971449645	148.187404799	787.582	1326.797	398.438	0.1750	855.469	1253.906	male.coda
12	Spectrogram 1	1	148.634740473	148.881546363	781.046	1117.647	234.375	0.1250	808.594	1042.969	male.coda
13	Spectrogram 1	1	149.498561087	149.807068449	771.242	1137.255	281.250	0.1250	796.875	1078.125	male.coda
14	Spectrogram 1	1	176.082371599	184.998234357	630.719	1388.889	515.625	7.2000	726.562	1242.188	great.call
15	Spectrogram 1	1	186.254856020	186.517087277	800.654	1290.850	375.000	0.1500	843.750	1218.750	male.coda
16	Spectrogram 1	1	186.779318535	187.041549793	794.118	1150.327	234.375	0.1500	843.750	1078.125	male.coda
17	Spectrogram 1	1	221.187287306	230.658463316	578.431	1362.745	503.906	7.2500	714.844	1218.750	great.call
18	Spectrogram 1	1	231.700965087	231.963196345	728.758	1408.497	468.750	0.1250	796.875	1265.625	male.coda
19	Spectrogram 1	1	232.210002234	232.503084228	758.170	1254.902	292.969	0.0750	867.188	1160.156	male.coda
20	Spectrogram 1	1	232.657337909	232.965845271	777.778	1173.203	257.812	0.0500	820.312	1078.125	male.coda
21	Spectrogram 1	1	261.674686368	270.575123759	598.039	1379.085	515.625	6.0250	726.562	1242.188	great.call
22	Spectrogram 1	1	271.815402267	272.139334997	797.386	1333.333	375.000	0.1000	855.469	1230.469	male.coda
23	Spectrogram 1	1	272.386140886	272.694648248	784.314	1313.725	339.844	0.1000	878.906	1218.750	male.coda
24	Spectrogram 1	1	297.753182580	307.085530277	607.843	1366.013	527.344	6.6000	714.844	1242.188	great.call
25	Spectrogram 1	1	308.374837938	308.667919932	758.170	1294.118	410.156	0.1500	796.875	1207.031	male.coda
