Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	622.532585058	633.539677666	480.392	1429.167	570.630	9.1701	592.163	1162.793	great.call
2	Spectrogram 1	1	634.242097938	634.481382560	732.598	1152.941	247.632	0.1361	775.195	1022.827	male.coda
3	Spectrogram 1	1	634.680786412	635.019772959	750.613	1110.907	150.732	0.1633	818.262	968.994	male.coda
4	Spectrogram 1	1	635.119474885	635.378699892	744.608	978.799	96.899	0.1088	796.729	893.628	male.coda
5	Spectrogram 1	1	635.438521048	635.737626825	690.564	852.696	75.366	0.1905	721.362	796.729	male.coda
6	Spectrogram 1	1	635.897149906	636.295957609	636.520	780.637	43.066	0.2449	689.062	732.129	male.coda
7	Spectrogram 1	1	670.296731312	679.947877728	426.348	1525.245	592.163	6.9660	592.163	1184.326	great.call
8	Spectrogram 1	1	680.585970053	680.885075831	690.564	1074.877	193.799	0.0544	742.896	936.694	male.coda
9	Spectrogram 1	1	681.044598912	681.303823919	750.613	1056.863	118.433	0.1088	829.028	947.461	male.coda
10	Spectrogram 1	1	681.463347000	681.862154703	696.569	1164.951	226.099	0.1633	796.729	1022.827	male.coda
11	Spectrogram 1	1	1133.174100270	1143.303815930	432.353	1333.088	581.396	7.4558	602.930	1184.326	great.call
12	Spectrogram 1	1	1143.961848640	1144.181192877	690.564	1140.931	290.698	0.1633	775.195	1065.894	male.coda
13	Spectrogram 1	1	1144.280894803	1144.619881350	780.637	1080.882	183.032	0.2177	818.262	1001.294	male.coda
14	Spectrogram 1	1	1144.599940965	1145.178212135	684.559	828.676	86.133	0.3265	732.129	818.262	male.coda
15	Spectrogram 1	1	1145.277914061	1145.676721764	612.500	870.711	150.732	0.3265	656.763	807.495	male.coda
16	Spectrogram 1	1	1070.452525132	1080.821525414	492.402	1489.216	538.330	8.2449	592.163	1130.493	great.call
17	Spectrogram 1	1	1081.339975428	1081.619140820	738.603	1056.863	139.966	0.0816	785.962	925.928	male.coda
18	Spectrogram 1	1	1081.798604287	1081.978067753	726.593	1056.863	129.199	0.1361	818.262	947.461	male.coda
19	Spectrogram 1	1	1082.197411990	1082.476577382	768.627	1188.971	236.865	0.1088	839.795	1076.660	male.coda
20	Spectrogram 1	1	1082.735802389	1082.915265855	744.608	1074.877	204.565	0.0816	775.195	979.761	male.coda
21	Spectrogram 1	1	1083.094729322	1083.413775484	732.598	1008.824	172.266	0.1088	753.662	925.928	male.coda
22	Spectrogram 1	1	1000.334880195	1010.305072774	462.377	1345.098	549.097	8.2177	602.930	1152.026	great.call
23	Spectrogram 1	1	1010.604178552	1010.803582403	678.554	1038.848	183.032	0.0544	764.429	947.461	male.coda
24	Spectrogram 1	1	1011.002986255	1011.222330491	768.627	1128.922	193.799	0.1361	818.262	1012.061	male.coda
25	Spectrogram 1	1	1011.381853573	1011.641078580	774.632	1086.887	193.799	0.1088	796.729	990.527	male.coda
26	Spectrogram 1	1	1011.720840120	1012.079767053	696.569	924.755	150.732	0.2721	721.362	872.095	male.coda
27	Spectrogram 1	1	1012.378872831	1012.618157453	666.544	906.740	107.666	0.1088	710.596	818.262	male.coda
28	Spectrogram 1	1	923.719086402	934.008325144	492.402	1381.127	581.396	7.7279	592.163	1173.560	great.call
29	Spectrogram 1	1	873.034857394	881.988090330	486.397	1375.123	570.630	6.2041	602.930	1173.560	great.call
30	Spectrogram 1	1	882.462429347	882.671803391	648.529	1116.912	279.932	0.1088	742.896	1022.827	male.coda
31	Spectrogram 1	1	882.781475510	882.970909169	786.642	1267.034	269.165	0.0816	839.795	1108.960	male.coda
32	Spectrogram 1	1	883.170313020	883.289955331	774.632	1237.010	258.398	0.0816	861.328	1119.727	male.coda
33	Spectrogram 1	1	883.419567835	883.609001494	780.637	1200.980	279.932	0.1088	796.729	1076.660	male.coda
34	Spectrogram 1	1	883.628941879	883.898137079	564.461	1146.936	258.398	0.1633	689.062	947.461	male.coda
35	Spectrogram 1	1	884.077600545	884.227153434	564.461	1140.931	301.465	0.1361	678.296	979.761	male.coda
36	Spectrogram 1	1	812.165944128	821.937231353	408.333	1585.294	581.396	7.4830	592.163	1173.560	great.call
37	Spectrogram 1	1	822.303830873	822.712730339	690.564	1237.010	355.298	0.2177	753.662	1108.960	male.coda
38	Spectrogram 1	1	822.783230247	823.121629804	792.647	1068.873	150.732	0.1905	829.028	979.761	male.coda
39	Spectrogram 1	1	823.166287054	823.504686612	606.495	894.730	86.133	0.1905	764.429	850.562	male.coda
40	Spectrogram 1	1	823.744386298	823.998185966	684.559	840.686	43.066	0.1088	732.129	775.195	male.coda
41	Spectrogram 1	1	760.937312203	770.384299851	438.358	1435.172	559.863	7.2653	592.163	1152.026	great.call
42	Spectrogram 1	1	717.383105079	727.478691880	396.324	1387.132	570.630	7.3741	592.163	1162.793	great.call
