Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	13.762452702	25.172991552	555.662	1509.410	581.396	7.1293	667.529	1248.926	great.call
2	Spectrogram 1	1	81.456370378	92.742430622	555.662	1467.942	559.863	7.2925	678.296	1238.159	great.call
3	Spectrogram 1	1	96.476788791	97.182167556	709.588	1290.160	430.664	0.2721	775.195	1205.859	male.coda
4	Spectrogram 1	1	97.389631899	97.970532059	703.723	1032.128	172.266	0.2721	764.429	936.694	male.coda
5	Spectrogram 1	1	134.243605620	144.699808493	568.843	1430.904	559.863	7.1565	678.296	1238.159	great.call
6	Spectrogram 1	1	152.375989174	152.998382202	715.452	1161.144	269.165	0.1905	796.729	1065.894	male.coda
7	Spectrogram 1	1	191.017736832	201.930361260	562.979	1383.989	549.097	7.0204	667.529	1216.626	great.call
8	Spectrogram 1	1	208.814410091	209.342528088	680.266	1401.582	484.497	0.1633	807.495	1291.992	male.coda
9	Spectrogram 1	1	209.430547754	209.723946641	762.367	1272.566	269.165	0.1361	882.861	1152.026	male.coda
10	Spectrogram 1	1	263.034078632	275.444851560	539.521	1419.176	549.097	8.0544	667.529	1216.626	great.call
11	Spectrogram 1	1	279.942781009	280.336963260	662.673	1266.702	419.897	0.1361	721.362	1141.260	male.coda
12	Spectrogram 1	1	280.544427603	280.897116985	686.130	1125.957	236.865	0.1361	775.195	1012.061	male.coda
13	Spectrogram 1	1	333.248073747	343.973980266	539.521	1495.412	559.863	7.4286	667.529	1227.393	great.call
14	Spectrogram 1	1	348.998085797	349.516746654	662.673	1319.481	484.497	0.1633	753.662	1238.159	male.coda
15	Spectrogram 1	1	349.703464562	349.910928905	768.231	1149.415	204.565	0.0816	839.795	1044.360	male.coda
16	Spectrogram 1	1	350.201378985	350.429589761	691.995	1120.093	226.099	0.0816	764.429	990.527	male.coda
17	Spectrogram 1	1	388.425482261	399.794528242	539.521	1554.056	516.797	6.1769	689.062	1205.859	great.call
18	Spectrogram 1	1	402.725712256	403.182133810	680.266	1401.582	527.563	0.2177	764.429	1291.992	male.coda
19	Spectrogram 1	1	403.202880245	403.597062496	779.960	1190.465	247.632	0.1905	850.562	1098.193	male.coda
20	Spectrogram 1	1	403.763033970	404.177962655	674.402	1067.314	161.499	0.2177	764.429	925.928	male.coda
21	Spectrogram 1	1	445.800778425	456.630417115	545.386	1495.412	559.863	7.3197	678.296	1238.159	great.call
22	Spectrogram 1	1	462.397691133	462.791873384	697.859	1442.633	495.264	0.1088	850.562	1345.825	male.coda
23	Spectrogram 1	1	462.957844858	463.227548504	803.418	1442.633	344.531	0.1088	893.628	1238.159	male.coda
24	Spectrogram 1	1	463.393519978	463.870687966	727.181	1061.449	139.966	0.1633	796.729	936.694	male.coda
25	Spectrogram 1	1	513.757755740	525.437998235	545.386	1366.396	549.097	7.1565	667.529	1216.626	great.call
26	Spectrogram 1	1	529.782407706	530.135097089	662.673	1319.481	441.431	0.1088	764.429	1205.859	male.coda
27	Spectrogram 1	1	530.238829260	530.550025774	733.045	1378.125	366.064	0.1088	861.328	1227.393	male.coda
28	Spectrogram 1	1	530.715997249	531.089433065	674.402	1254.973	279.932	0.1361	785.962	1065.894	male.coda
29	Spectrogram 1	1	572.621858481	583.451497171	521.928	1501.277	570.630	7.3469	656.763	1227.393	great.call
30	Spectrogram 1	1	586.900107660	587.418768517	668.537	1366.396	506.030	0.1633	796.729	1302.759	male.coda
31	Spectrogram 1	1	587.439514951	587.833697203	756.503	1372.261	376.831	0.1361	882.861	1259.692	male.coda
32	Spectrogram 1	1	587.812950768	588.269372322	691.995	1249.109	366.064	0.1361	796.729	1162.793	male.coda
33	Spectrogram 1	1	684.300744574	696.105465675	539.521	1383.989	538.330	7.5646	678.296	1216.626	great.call
34	Spectrogram 1	1	700.739091263	701.195512817	668.537	1442.633	549.097	0.1361	807.495	1356.592	male.coda
35	Spectrogram 1	1	701.319991422	701.693427239	756.503	1325.346	322.998	0.1361	872.095	1195.093	male.coda
36	Spectrogram 1	1	701.921638016	702.274327399	680.266	1120.093	215.332	0.1633	775.195	990.527	male.coda
37	Spectrogram 1	1	757.109920002	766.425068990	592.301	1559.920	549.097	6.5306	678.296	1227.393	great.call
38	Spectrogram 1	1	770.181173685	770.596102371	680.266	1342.939	484.497	0.2449	775.195	1259.692	male.coda
39	Spectrogram 1	1	770.658341673	771.094016793	809.282	1313.617	247.632	0.1905	882.861	1130.493	male.coda
40	Spectrogram 1	1	771.094016793	771.384466873	721.316	1155.279	226.099	0.1633	807.495	1033.594	male.coda
41	Spectrogram 1	1	829.382156065	841.124637863	545.386	1513.005	527.563	7.4830	656.763	1184.326	great.call
42	Spectrogram 1	1	843.811800938	844.288968926	645.080	1360.532	484.497	0.2449	742.896	1227.393	male.coda
43	Spectrogram 1	1	844.288968926	844.807629783	779.960	1296.024	290.698	0.2177	872.095	1162.793	male.coda
