Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	411.943954367	423.190684867	435.872	1602.471	624.463	8.4898	581.396	1205.859	great.call
2	Spectrogram 1	1	426.307985168	427.041467592	564.070	1205.058	409.131	0.1270	689.062	1098.193	male.coda
3	Spectrogram 1	1	483.621099608	494.928953643	384.593	1564.012	602.930	8.7619	602.930	1205.859	great.call
4	Spectrogram 1	1	498.771411410	499.095567908	666.628	1499.913	452.197	0.0907	818.262	1270.459	male.coda
5	Spectrogram 1	1	499.441334838	499.614218303	653.808	1346.076	387.598	0.0907	796.729	1184.326	male.coda
6	Spectrogram 1	1	499.787101769	500.089647833	628.169	1153.779	366.064	0.1451	667.529	1033.594	male.coda
7	Spectrogram 1	1	500.284141731	500.521856496	602.529	1012.762	236.865	0.1814	732.129	968.994	male.coda
8	Spectrogram 1	1	539.553424255	549.818380005	346.134	1705.029	581.396	6.2585	624.463	1205.859	great.call
9	Spectrogram 1	1	551.536930094	551.796255291	628.169	1461.453	366.064	0.0544	904.395	1270.459	male.coda
10	Spectrogram 1	1	552.206853521	552.379736987	653.808	1435.814	366.064	0.0544	839.795	1205.859	male.coda
11	Spectrogram 1	1	552.790335217	553.071270848	589.709	1115.320	279.932	0.1270	710.596	990.527	male.coda
12	Spectrogram 1	1	637.667185185	648.882999994	423.052	1679.390	581.396	6.6395	624.463	1205.859	great.call
13	Spectrogram 1	1	651.183746426	651.486292490	538.430	1512.733	409.131	0.0907	839.795	1248.926	male.coda
14	Spectrogram 1	1	651.875280287	652.156215918	602.529	1410.174	366.064	0.0907	861.328	1227.393	male.coda
15	Spectrogram 1	1	678.284027737	689.543063412	384.593	1756.308	581.396	7.3832	581.396	1162.793	great.call
16	Spectrogram 1	1	691.963431926	692.244367557	589.709	1410.174	495.264	0.0907	753.662	1248.926	male.coda
17	Spectrogram 1	1	692.676576220	692.979122285	538.430	1256.337	387.598	0.0907	689.062	1076.660	male.coda
18	Spectrogram 1	1	735.672893949	747.126423523	423.052	1589.651	645.996	8.4172	581.396	1227.393	great.call
19	Spectrogram 1	1	790.124026168	800.216098453	410.233	1499.913	624.463	7.6190	602.930	1227.393	great.call
20	Spectrogram 1	1	803.414442561	803.716988625	628.169	1435.814	452.197	0.0907	861.328	1313.525	male.coda
21	Spectrogram 1	1	803.997924256	804.322080753	679.448	1422.994	452.197	0.0726	839.795	1291.992	male.coda
22	Spectrogram 1	1	861.583611897	873.037141471	410.233	1538.372	581.396	8.4898	581.396	1162.793	great.call
23	Spectrogram 1	1	875.241405653	875.652003883	589.709	1499.913	495.264	0.1088	839.795	1335.059	male.coda
24	Spectrogram 1	1	875.803276915	876.084212547	628.169	1346.076	366.064	0.1088	775.195	1141.260	male.coda
25	Spectrogram 1	1	876.451589910	876.818967274	576.890	1346.076	430.664	0.1270	732.129	1162.793	male.coda
