Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	20.365347702	33.441472036	568.978	1409.707	538.330	8.6531	699.829	1238.159	great.call
2	Spectrogram 1	1	52.481163149	65.282413999	547.748	1426.692	581.396	9.3333	678.296	1259.692	great.call
3	Spectrogram 1	1	66.597879960	66.853119624	598.701	857.714	150.732	0.1905	667.529	818.262	male.coda
4	Spectrogram 1	1	67.147626929	67.383232773	628.424	840.729	107.666	0.1633	689.062	796.729	male.coda
5	Spectrogram 1	1	101.383673642	112.947993811	568.978	1384.231	581.396	8.4626	699.829	1281.226	great.call
6	Spectrogram 1	1	115.107714046	115.421855171	666.639	887.436	139.966	0.2177	710.596	850.562	male.coda
7	Spectrogram 1	1	115.834165398	116.246475625	619.932	861.960	150.732	0.2177	656.763	807.495	male.coda
8	Spectrogram 1	1	135.778180033	148.343825038	543.502	1503.122	559.863	9.7687	678.296	1238.159	great.call
9	Spectrogram 1	1	149.423685156	149.757460101	615.686	900.175	226.099	0.1633	635.229	861.328	male.coda
10	Spectrogram 1	1	149.973432125	150.248305609	658.147	870.452	107.666	0.1633	689.062	796.729	male.coda
11	Spectrogram 1	1	150.562446734	150.798052578	641.162	866.206	129.199	0.1361	678.296	807.495	male.coda
12	Spectrogram 1	1	176.368797948	188.757738571	547.748	1473.399	581.396	9.5510	678.296	1259.692	great.call
13	Spectrogram 1	1	189.994669251	190.348078017	607.193	891.682	161.499	0.1361	667.529	829.028	male.coda
14	Spectrogram 1	1	190.524782400	190.878191166	649.654	921.405	139.966	0.2177	710.596	850.562	male.coda
15	Spectrogram 1	1	214.625327613	227.426578462	556.240	1405.461	538.330	9.5510	667.529	1205.859	great.call
16	Spectrogram 1	1	228.617233592	228.931374717	628.424	972.358	226.099	0.1633	678.296	904.395	male.coda
17	Spectrogram 1	1	229.108079100	229.540023147	713.346	904.421	129.199	0.2721	732.129	861.328	male.coda
18	Spectrogram 1	1	229.814896632	230.148671577	594.455	755.807	107.666	0.1633	635.229	742.896	male.coda
19	Spectrogram 1	1	263.979415973	277.212610869	518.025	1409.707	506.030	9.7687	689.062	1195.093	great.call
20	Spectrogram 1	1	278.430854186	278.803896772	675.131	942.636	161.499	0.2177	721.362	882.861	male.coda
21	Spectrogram 1	1	278.960967335	279.275108460	683.623	951.128	161.499	0.2177	710.596	872.095	male.coda
22	Spectrogram 1	1	279.589249585	279.903390710	585.963	849.221	161.499	0.2449	613.696	775.195	male.coda
23	Spectrogram 1	1	307.316433160	320.278036999	564.732	1486.137	527.563	10.0680	667.529	1195.093	great.call
24	Spectrogram 1	1	320.906319250	321.220460375	611.439	934.144	215.332	0.1905	667.529	882.861	male.coda
25	Spectrogram 1	1	321.357897117	321.554235320	683.623	942.636	139.966	0.1361	742.896	882.861	male.coda
26	Spectrogram 1	1	321.730939703	322.064714649	619.932	946.882	183.032	0.2449	678.296	861.328	male.coda
27	Spectrogram 1	1	357.511272434	369.860945416	556.240	1528.598	527.563	8.6531	689.062	1216.626	great.call
28	Spectrogram 1	1	421.790347062	433.884780380	551.994	1435.184	527.563	8.8163	678.296	1205.859	great.call
29	Spectrogram 1	1	434.913693007	435.306369413	632.670	968.112	236.865	0.2177	678.296	915.161	male.coda
30	Spectrogram 1	1	435.443806155	435.738313460	700.608	972.358	129.199	0.2177	742.896	872.095	male.coda
31	Spectrogram 1	1	435.856116382	436.248792789	611.439	929.897	172.266	0.2721	678.296	850.562	male.coda
32	Spectrogram 1	1	436.307694250	436.543300093	615.686	806.760	107.666	0.1633	656.763	764.429	male.coda
33	Spectrogram 1	1	474.377008261	485.882426969	543.502	1430.938	559.863	7.9184	689.062	1248.926	great.call
34	Spectrogram 1	1	486.792866493	487.139946680	547.748	959.620	204.565	0.1633	656.763	861.328	male.coda
35	Spectrogram 1	1	487.264895548	487.473143660	662.393	993.589	129.199	0.1088	732.129	861.328	male.coda
36	Spectrogram 1	1	487.625858942	487.834107055	658.147	942.636	129.199	0.1088	732.129	861.328	male.coda
37	Spectrogram 1	1	488.084004790	488.278369694	619.932	883.190	139.966	0.1361	656.763	796.729	male.coda
38	Spectrogram 1	1	520.536624032	532.238380943	535.009	1422.446	516.797	7.8639	678.296	1195.093	great.call
39	Spectrogram 1	1	532.836314443	533.169511423	590.209	1078.511	247.632	0.1088	689.062	936.694	male.coda
40	Spectrogram 1	1	533.294460290	533.516591610	704.854	1010.573	129.199	0.1088	764.429	893.628	male.coda
41	Spectrogram 1	1	533.697073308	533.919204627	649.654	1019.066	172.266	0.1361	732.129	904.395	male.coda
42	Spectrogram 1	1	534.141335947	534.377350475	585.963	925.651	204.565	0.1905	645.996	850.562	male.coda
43	Spectrogram 1	1	598.890590134	611.632939523	510.417	1453.186	527.563	7.9184	710.596	1238.159	great.call
44	Spectrogram 1	1	613.098468137	613.432243082	675.131	985.097	161.499	0.1088	742.896	904.395	male.coda
45	Spectrogram 1	1	613.628581286	613.942722411	636.916	968.112	172.266	0.1088	699.829	872.095	male.coda
46	Spectrogram 1	1	614.139060614	614.472835559	670.885	1036.050	172.266	0.1088	753.662	925.928	male.coda
47	Spectrogram 1	1	614.610272302	614.924413427	649.654	968.112	150.732	0.0816	721.362	872.095	male.coda
48	Spectrogram 1	1	662.323074122	674.378239799	528.431	1477.206	549.097	8.4082	678.296	1227.393	great.call
49	Spectrogram 1	1	675.458099916	675.752607221	576.471	1002.819	226.099	0.1088	689.062	915.161	male.coda
50	Spectrogram 1	1	675.870410143	676.164917448	642.525	1020.833	139.966	0.1361	732.129	872.095	male.coda
51	Spectrogram 1	1	676.302354190	676.616495315	630.515	1002.819	161.499	0.1088	699.829	861.328	male.coda
52	Spectrogram 1	1	676.891368800	677.126974644	606.495	888.725	96.899	0.1361	667.529	764.429	male.coda
53	Spectrogram 1	1	716.853483533	728.908649210	546.446	1651.348	495.264	9.1156	710.596	1205.859	great.call
54	Spectrogram 1	1	730.396147615	730.690654919	612.500	870.711	139.966	0.1361	656.763	796.729	male.coda
55	Spectrogram 1	1	730.729922560	731.024429865	666.544	1032.843	129.199	0.1361	753.662	882.861	male.coda
56	Spectrogram 1	1	731.201134248	731.515275373	672.549	996.814	150.732	0.1361	753.662	904.395	male.coda
57	Spectrogram 1	1	731.809782678	731.986487061	594.485	894.730	150.732	0.0816	667.529	818.262	male.coda
58	Spectrogram 1	1	732.123923803	732.398797287	570.466	816.667	150.732	0.2449	613.696	764.429	male.coda
59	Spectrogram 1	1	732.614769311	732.987811897	570.466	780.637	96.899	0.2721	602.930	699.829	male.coda
