Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	9.893115133	27.825253527	459.375	1487.500	409.131	13.6599	645.996	1055.127	great.call
2	Spectrogram 1	1	28.401056136	29.017987503	680.175	1037.703	118.433	0.2721	775.195	893.628	male.coda
3	Spectrogram 1	1	63.328114132	79.738488487	418.569	1386.511	409.131	12.7347	656.763	1065.894	great.call
4	Spectrogram 1	1	80.334855475	81.075173115	715.056	1020.263	107.666	0.2721	785.962	893.628	male.coda
5	Spectrogram 1	1	81.774361998	82.309035849	688.895	1037.703	129.199	0.2449	775.195	904.395	male.coda
6	Spectrogram 1	1	111.638032791	127.431475780	418.569	1438.832	430.664	12.4354	645.996	1076.660	great.call
7	Spectrogram 1	1	127.719377084	128.254050936	706.336	1098.744	183.032	0.2177	785.962	968.994	male.coda
8	Spectrogram 1	1	156.138991097	172.425979180	444.730	1351.630	387.598	10.6939	635.229	1022.827	great.call
9	Spectrogram 1	1	172.517065621	172.836972280	680.175	1098.744	183.032	0.2177	764.429	947.461	male.coda
10	Spectrogram 1	1	172.895137127	173.302291056	688.895	1116.185	183.032	0.1633	796.729	979.761	male.coda
11	Spectrogram 1	1	173.767609833	174.203846185	688.895	1098.744	193.799	0.1905	785.962	979.761	male.coda
12	Spectrogram 1	1	174.465587997	174.727329809	715.056	1177.226	226.099	0.1088	775.195	1001.294	male.coda
13	Spectrogram 1	1	174.959989197	175.221731009	706.336	1159.786	279.932	0.1633	753.662	1033.594	male.coda
14	Spectrogram 1	1	206.573657366	222.045506685	366.248	1648.116	462.964	9.3878	635.229	1098.193	great.call
15	Spectrogram 1	1	223.422432566	223.800504072	758.657	1142.345	226.099	0.1633	796.729	1022.827	male.coda
16	Spectrogram 1	1	223.858668919	224.062245884	671.455	933.061	161.499	0.1088	721.362	882.861	male.coda
17	Spectrogram 1	1	224.062245884	224.702059201	627.854	1281.868	269.165	0.4082	645.996	915.161	male.coda
19	Spectrogram 1	1	242.294867235	258.057540788	357.528	1456.272	452.197	11.7279	645.996	1098.193	great.call
20	Spectrogram 1	1	287.141038409	303.863431940	444.730	1281.868	398.364	12.7347	645.996	1044.360	great.call
21	Spectrogram 1	1	331.494538158	348.246014111	427.289	1482.433	409.131	11.0476	635.229	1044.360	great.call
22	Spectrogram 1	1	347.566737965	347.799397354	767.377	1246.988	204.565	0.1361	839.795	1044.360	male.coda
23	Spectrogram 1	1	347.940246914	348.158365090	749.937	1264.428	290.698	0.1361	850.562	1141.260	male.coda
24	Spectrogram 1	1	348.158365090	348.492812961	654.014	967.941	183.032	0.2721	742.896	925.928	male.coda
25	Spectrogram 1	1	348.492812961	348.725472349	601.693	863.299	150.732	0.1361	667.529	818.262	male.coda
26	Spectrogram 1	1	348.856343255	349.089002643	592.973	845.859	96.899	0.1905	678.296	775.195	male.coda
27	Spectrogram 1	1	349.190791126	349.467074149	592.973	933.061	129.199	0.1633	656.763	785.962	male.coda
28	Spectrogram 1	1	380.730424337	397.132911208	427.289	1246.988	452.197	11.9184	635.229	1087.427	great.call
29	Spectrogram 1	1	396.771811947	397.178965877	795.428	1294.883	333.765	0.1905	850.562	1184.326	male.coda
30	Spectrogram 1	1	397.248008861	397.474217028	795.428	1294.883	301.465	0.1633	850.562	1152.026	male.coda
31	Spectrogram 1	1	397.474217028	397.844375849	672.106	931.082	118.433	0.1905	753.662	872.095	male.coda
32	Spectrogram 1	1	397.906068985	398.317356563	591.946	838.591	129.199	0.2449	667.529	796.729	male.coda
33	Spectrogram 1	1	428.943235754	445.985535943	413.129	1276.384	344.531	11.5374	635.229	979.761	great.call
34	Spectrogram 1	1	445.798013216	446.003657005	783.096	1319.547	333.765	0.1088	829.028	1162.793	male.coda
35	Spectrogram 1	1	446.106478899	446.414944583	783.096	1239.388	290.698	0.2177	829.028	1119.727	male.coda
36	Spectrogram 1	1	446.435508961	446.805667782	647.441	850.923	64.600	0.2449	732.129	796.729	male.coda
37	Spectrogram 1	1	446.846796539	447.443163527	628.943	838.591	107.666	0.3810	667.529	775.195	male.coda
38	Spectrogram 1	1	471.467965554	487.096893512	376.133	1350.378	430.664	11.4830	635.229	1065.894	great.call
39	Spectrogram 1	1	486.559103663	487.032084378	776.930	1264.052	279.932	0.1361	861.328	1141.260	male.coda
40	Spectrogram 1	1	487.093777514	487.422807577	776.930	1276.384	301.465	0.1905	850.562	1152.026	male.coda
41	Spectrogram 1	1	487.402243198	487.690144502	672.106	1035.906	247.632	0.2177	742.896	990.527	male.coda
42	Spectrogram 1	1	487.649015745	488.183689596	641.275	850.923	53.833	0.3810	699.829	753.662	male.coda
43	Spectrogram 1	1	517.387600265	533.366122665	394.631	1227.055	430.664	11.5102	624.463	1055.127	great.call
44	Spectrogram 1	1	532.519244049	532.786580975	733.767	1171.560	279.932	0.1633	775.195	1055.127	male.coda
45	Spectrogram 1	1	532.909967248	533.177304174	758.431	1153.062	226.099	0.1905	807.495	1033.594	male.coda
46	Spectrogram 1	1	533.053917901	533.691413646	616.611	820.092	53.833	0.3537	689.062	742.896	male.coda
47	Spectrogram 1	1	533.814799920	534.452295665	641.275	826.258	53.833	0.2721	710.596	764.429	male.coda
48	Spectrogram 1	1	562.422966684	578.915598556	400.797	1313.381	419.897	15.2653	635.229	1055.127	great.call
49	Spectrogram 1	1	577.780195553	578.068096858	733.767	1196.225	322.998	0.1361	775.195	1098.193	male.coda
50	Spectrogram 1	1	578.047532479	578.438255678	770.763	1159.228	226.099	0.1361	829.028	1055.127	male.coda
51	Spectrogram 1	1	578.397126920	578.643899467	635.109	869.421	139.966	0.1905	699.829	839.795	male.coda
52	Spectrogram 1	1	578.767285740	579.322523970	635.109	894.086	86.133	0.3537	689.062	775.195	male.coda
53	Spectrogram 1	1	609.288562825	625.452164634	400.797	1288.716	430.664	10.6667	656.763	1087.427	great.call
54	Spectrogram 1	1	625.097584363	625.344356909	795.428	1307.215	301.465	0.1088	839.795	1141.260	male.coda
55	Spectrogram 1	1	625.364921288	625.776208866	752.265	1146.896	258.398	0.1633	807.495	1065.894	male.coda
56	Spectrogram 1	1	625.693951351	626.105238928	672.106	906.418	107.666	0.2993	710.596	818.262	male.coda
57	Spectrogram 1	1	626.187496444	626.639912780	665.940	875.587	64.600	0.3537	710.596	775.195	male.coda
58	Spectrogram 1	1	626.722170295	626.948378463	647.441	894.086	139.966	0.1361	678.296	818.262	male.coda
59	Spectrogram 1	1	657.762444879	674.625235571	457.134	1384.848	430.664	14.5034	645.996	1076.660	great.call
60	Spectrogram 1	1	673.928727260	674.219551495	799.985	1425.183	452.197	0.1633	829.028	1281.226	male.coda
61	Spectrogram 1	1	674.266293187	674.574758870	732.759	1290.732	366.064	0.1905	829.028	1195.093	male.coda
62	Spectrogram 1	1	674.471936976	675.109432721	652.088	934.436	75.366	0.4082	742.896	818.262	male.coda
63	Spectrogram 1	1	675.171125858	675.561849057	618.476	941.159	139.966	0.1905	678.296	818.262	male.coda
64	Spectrogram 1	1	706.799140280	724.484506128	363.018	1378.125	419.897	13.0340	635.229	1055.127	great.call
65	Spectrogram 1	1	724.971819226	725.300849288	779.817	1284.009	333.765	0.1633	829.028	1162.793	male.coda
66	Spectrogram 1	1	725.259720530	725.609314971	793.262	1115.945	215.332	0.1633	818.262	1033.594	male.coda
67	Spectrogram 1	1	725.568186213	726.000038170	645.366	840.320	43.066	0.2449	710.596	753.662	male.coda
68	Spectrogram 1	1	726.102860065	726.658098295	598.308	880.655	64.600	0.3537	689.062	753.662	male.coda
69	Spectrogram 1	1	753.581855239	770.547467825	342.851	1317.622	419.897	11.9728	635.229	1055.127	great.call
70	Spectrogram 1	1	770.376720798	770.664622102	739.482	1196.616	226.099	0.1088	807.495	1033.594	male.coda
71	Spectrogram 1	1	770.788008376	771.014216544	773.095	1156.280	247.632	0.1361	818.262	1065.894	male.coda
72	Spectrogram 1	1	770.973087786	771.302117848	625.198	873.933	86.133	0.1633	732.129	818.262	male.coda
73	Spectrogram 1	1	771.384375364	771.610583531	611.753	853.765	96.899	0.1361	678.296	775.195	male.coda
74	Spectrogram 1	1	771.713405426	772.042435488	638.643	847.043	64.600	0.2177	678.296	742.896	male.coda
75	Spectrogram 1	1	772.145257383	772.453723066	571.418	880.655	150.732	0.1361	645.996	796.729	male.coda
76	Spectrogram 1	1	798.658972914	815.706843016	363.018	1230.229	398.364	12.2993	635.229	1033.594	great.call
81	Spectrogram 1	1	856.088427810	871.120988780	443.689	1398.293	409.131	11.0748	624.463	1033.594	great.call
85	Spectrogram 1	1	905.121073049	921.654833679	374.117	1420.118	366.064	12.0816	635.229	1001.294	great.call
86	Spectrogram 1	1	952.520096875	969.465145082	419.927	1603.359	355.298	11.7279	624.463	979.761	great.call
87	Spectrogram 1	1	1002.612430669	1019.002240646	374.117	1694.979	409.131	12.2177	613.696	1022.827	great.call
88	Spectrogram 1	1	1050.402177694	1067.285532765	389.387	1488.833	376.831	12.1905	645.996	1022.827	great.call
89	Spectrogram 1	1	1098.479825440	1115.157536721	389.387	1672.074	387.598	12.3810	624.463	1012.061	great.call
90	Spectrogram 1	1	1149.743705748	1166.277466377	412.292	1381.943	333.765	11.0204	645.996	979.761	great.call
91	Spectrogram 1	1	1213.340604495	1230.306217081	427.562	1404.848	409.131	10.9388	635.229	1044.360	great.call
