Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	44.317802960	55.463789606	533.451	1410.211	539.062	8.8500	656.250	1195.312	great.call
2	Spectrogram 1	1	57.922823223	58.311902839	702.465	1188.380	222.656	0.0750	820.312	1042.969	male.coda
3	Spectrogram 1	1	58.517886166	58.861191709	760.563	1135.563	187.500	0.1000	843.750	1031.250	male.coda
4	Spectrogram 1	1	59.181610216	59.593576868	665.493	940.141	128.906	0.1250	703.125	832.031	male.coda
5	Spectrogram 1	1	94.159096933	107.204707586	507.042	1389.085	562.500	9.4750	656.250	1218.750	great.call
6	Spectrogram 1	1	109.226012372	109.546430879	691.901	1399.648	492.188	0.1500	808.594	1300.781	male.coda
7	Spectrogram 1	1	109.752414205	110.004171604	776.408	1336.268	328.125	0.1000	878.906	1207.031	male.coda
8	Spectrogram 1	1	110.347477147	110.667895655	707.746	1045.775	175.781	0.0750	761.719	937.500	male.coda
9	Spectrogram 1	1	147.220332584	159.236026607	528.169	1383.803	539.062	8.5000	656.250	1195.312	great.call
10	Spectrogram 1	1	161.580625192	161.809495554	691.901	982.394	152.344	0.0750	750.000	902.344	male.coda
11	Spectrogram 1	1	161.969704808	162.404558497	765.845	1257.042	281.250	0.1250	832.031	1113.281	male.coda
12	Spectrogram 1	1	162.679202931	163.136943656	660.211	1056.338	152.344	0.1000	773.438	925.781	male.coda
13	Spectrogram 1	1	198.911221354	211.430430173	517.606	1426.056	492.188	9.5750	667.969	1160.156	great.call
14	Spectrogram 1	1	213.902344819	214.176989254	686.620	1399.648	503.906	0.1500	773.438	1277.344	male.coda
15	Spectrogram 1	1	214.337198508	214.749165160	802.817	1447.183	480.469	0.1750	878.906	1359.375	male.coda
16	Spectrogram 1	1	255.874754049	268.668607303	544.014	1404.930	445.312	9.5500	656.250	1101.562	great.call
17	Spectrogram 1	1	271.262087995	271.422297249	681.338	1399.648	328.125	0.0750	796.875	1125.000	male.coda
18	Spectrogram 1	1	271.651167611	271.948699082	781.690	1304.577	234.375	0.1000	867.188	1101.562	male.coda
19	Spectrogram 1	1	272.177569444	272.497987952	739.437	1225.352	187.500	0.0500	832.031	1019.531	male.coda
20	Spectrogram 1	1	272.909954604	273.253260147	660.211	1066.901	152.344	0.0750	726.562	878.906	male.coda
21	Spectrogram 1	1	331.248204770	344.728669112	507.042	1346.831	492.188	9.6500	656.250	1148.438	great.call
22	Spectrogram 1	1	347.219215222	347.425198548	681.338	1373.239	410.156	0.0750	808.594	1218.750	male.coda
23	Spectrogram 1	1	347.676955946	347.974487417	786.972	1346.831	304.688	0.1000	890.625	1195.312	male.coda
24	Spectrogram 1	1	348.134696671	348.409341106	776.408	1198.944	316.406	0.1000	808.594	1125.000	male.coda
25	Spectrogram 1	1	348.469638369	348.647657732	744.718	1088.028	152.344	0.1000	796.875	949.219	male.coda
26	Spectrogram 1	1	348.647657732	348.922778567	760.563	1098.592	187.500	0.1250	796.875	984.375	male.coda
27	Spectrogram 1	1	349.181715824	349.505387394	750.000	1103.873	199.219	0.1500	785.156	984.375	male.coda
28	Spectrogram 1	1	385.988819381	398.805559672	528.169	1367.958	503.906	10.2500	644.531	1148.438	great.call
29	Spectrogram 1	1	400.948430211	401.337509827	702.465	1447.183	550.781	0.1500	796.875	1347.656	male.coda
30	Spectrogram 1	1	401.491900710	401.669920073	760.563	1420.775	304.688	0.0750	902.344	1207.031	male.coda
31	Spectrogram 1	1	401.961224487	402.139243850	744.718	1352.113	316.406	0.0750	878.906	1195.312	male.coda
32	Spectrogram 1	1	402.462915421	402.705669099	686.620	1045.775	257.812	0.1000	691.406	949.219	male.coda
33	Spectrogram 1	1	402.795206678	402.978302968	697.183	1103.873	222.656	0.1250	761.719	984.375	male.coda
34	Spectrogram 1	1	403.069851113	403.264390921	739.437	1029.930	128.906	0.1000	785.156	914.062	male.coda
35	Spectrogram 1	1	403.321608511	403.573365910	786.972	1119.718	210.938	0.1250	796.875	1007.812	male.coda
36	Spectrogram 1	1	439.734218387	453.969954924	517.606	1362.676	562.500	10.2500	656.250	1218.750	great.call
37	Spectrogram 1	1	455.932575781	456.223880194	681.338	1452.465	550.781	0.1000	808.594	1359.375	male.coda
38	Spectrogram 1	1	456.418083137	456.644653236	765.845	1278.169	281.250	0.1000	855.469	1136.719	male.coda
39	Spectrogram 1	1	456.871223335	457.178711327	728.873	1130.282	187.500	0.0750	820.312	1007.812	male.coda
