Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	50.297158354	60.539862561	411.599	1540.860	691.406	8.7500	585.938	1277.344	great.call
2	Spectrogram 1	1	61.618670502	61.944707796	716.418	1380.597	468.750	0.1500	796.875	1265.625	male.coda
3	Spectrogram 1	1	62.087914515	62.301990326	970.149	1552.239	292.969	0.1500	1019.531	1312.500	male.coda
4	Spectrogram 1	1	62.318457696	62.697207209	813.433	1119.403	164.062	0.2500	867.188	1031.250	male.coda
5	Spectrogram 1	1	62.828946169	63.174760942	753.731	1201.493	210.938	0.2000	867.188	1078.125	male.coda
6	Spectrogram 1	1	63.306499903	63.586445194	723.881	1059.701	187.500	0.1500	761.719	949.219	male.coda
7	Spectrogram 1	1	179.933805873	191.197487027	417.910	1641.791	902.344	8.5250	609.375	1511.719	great.call
8	Spectrogram 1	1	191.967321876	192.247267168	761.194	1462.687	386.719	0.1250	867.188	1253.906	male.coda
9	Spectrogram 1	1	192.296669278	192.658951420	865.672	1283.582	246.094	0.2750	902.344	1148.438	male.coda
10	Spectrogram 1	1	192.840092492	193.169439894	776.119	1223.881	210.938	0.2250	902.344	1113.281	male.coda
11	Spectrogram 1	1	193.317646225	193.696395737	753.731	1149.254	164.062	0.1500	867.188	1031.250	male.coda
12	Spectrogram 1	1	266.179313460	278.496906300	395.522	1507.463	550.781	8.4000	585.938	1136.719	great.call
13	Spectrogram 1	1	279.325259748	279.569787718	805.970	1470.149	492.188	0.1500	890.625	1382.812	male.coda
14	Spectrogram 1	1	279.604720285	279.837604067	820.896	1477.612	304.688	0.1500	1042.969	1347.656	male.coda
15	Spectrogram 1	1	279.825959878	280.105420416	798.507	1253.731	210.938	0.2000	890.625	1101.562	male.coda
16	Spectrogram 1	1	280.256794873	280.641053113	828.358	1194.030	187.500	0.2500	914.062	1101.562	male.coda
17	Spectrogram 1	1	280.839004327	281.141753243	813.433	1126.866	152.344	0.1750	878.906	1031.250	male.coda
