Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	59.310121116	72.038042848	536.107	1428.078	375.000	9.8750	667.969	1042.969	great.call
2	Spectrogram 1	1	142.663611923	154.292992790	522.242	1386.484	328.125	8.4250	679.688	1007.812	great.call
3	Spectrogram 1	1	211.074270956	222.893055421	517.621	1428.078	339.844	9.0250	667.969	1007.812	great.call
4	Spectrogram 1	1	296.370227248	308.567818907	480.648	1395.727	410.156	9.6500	667.969	1078.125	great.call
5	Spectrogram 1	1	310.633230971	310.888925827	605.431	998.268	117.188	0.1000	703.125	820.312	male.coda
6	Spectrogram 1	1	311.116210144	311.476076978	647.026	1086.079	210.938	0.2250	726.562	937.500	male.coda
7	Spectrogram 1	1	311.561308597	311.807533273	619.296	1113.809	234.375	0.1500	703.125	937.500	male.coda
8	Spectrogram 1	1	311.854884173	312.120049209	619.296	1104.565	246.094	0.1500	703.125	949.219	male.coda
9	Spectrogram 1	1	312.186340468	312.432565144	596.188	1044.485	199.219	0.1250	691.406	890.625	male.coda
10	Spectrogram 1	1	350.585695849	361.590044846	549.972	1326.403	398.438	8.3250	667.969	1066.406	great.call
11	Spectrogram 1	1	363.493337284	363.767972500	651.647	970.539	140.625	0.1000	703.125	843.750	male.coda
12	Spectrogram 1	1	364.014197176	364.203600774	670.134	1016.755	140.625	0.0750	726.562	867.188	male.coda
13	Spectrogram 1	1	364.258168451	364.599094926	605.431	1127.674	199.219	0.2250	714.844	914.062	male.coda
14	Spectrogram 1	1	364.750617803	364.921081041	600.810	1104.565	199.219	0.1250	726.562	925.781	male.coda
15	Spectrogram 1	1	365.091544278	365.328298775	545.350	993.647	199.219	0.1000	679.688	878.906	male.coda
16	Spectrogram 1	1	441.698598298	453.043873770	536.107	1552.862	410.156	9.4750	679.688	1089.844	great.call
17	Spectrogram 1	1	454.369698951	454.691685066	623.918	1118.430	199.219	0.1000	773.438	972.656	
18	Spectrogram 1	1	454.805327224	455.070492260	619.296	1044.485	117.188	0.0750	761.719	878.906	male.coda
19	Spectrogram 1	1	626.430164080	637.055705883	536.107	1377.241	339.844	7.4000	679.688	1019.531	great.call
20	Spectrogram 1	1	638.198692427	638.453156706	637.783	1118.430	234.375	0.1000	761.719	996.094	male.coda
21	Spectrogram 1	1	638.707620985	638.881728124	637.783	1086.079	175.781	0.0750	785.156	960.938	male.coda
22	Spectrogram 1	1	638.935299551	639.337085255	628.539	1132.295	246.094	0.2750	726.562	972.656	male.coda
23	Spectrogram 1	1	639.363870968	639.551370963	610.053	1113.809	281.250	0.1500	726.562	1007.812	male.coda
24	Spectrogram 1	1	639.658513818	639.886192383	596.188	1095.322	281.250	0.1500	703.125	984.375	male.coda
