Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	178.262105157	191.558044129	522.876	1686.275	457.031	10.4500	714.844	1171.875	great.call
2	Spectrogram 1	1	217.524972802	231.074407564	568.627	1705.882	480.469	10.2750	714.844	1195.312	great.call
3	Spectrogram 1	1	265.964630762	279.664894111	510.490	1804.196	457.031	9.8250	714.844	1171.875	great.call
4	Spectrogram 1	1	337.093903740	349.749931211	510.490	1545.455	410.156	9.0750	726.562	1136.719	great.call
5	Spectrogram 1	1	384.654733591	398.537258107	545.455	1776.224	445.312	9.5500	714.844	1160.156	great.call
6	Spectrogram 1	1	399.988908951	400.166662146	825.175	1202.797	152.344	0.0500	914.062	1066.406	male.coda
7	Spectrogram 1	1	400.344415341	400.557719175	811.189	1188.811	140.625	0.1250	878.906	1019.531	male.coda
8	Spectrogram 1	1	400.682146411	400.931000884	769.231	1293.706	164.062	0.1000	855.469	1019.531	male.coda
9	Spectrogram 1	1	400.913225564	401.357608552	818.182	1342.657	316.406	0.3500	832.031	1148.438	male.coda
10	Spectrogram 1	1	442.415902932	454.929727848	545.455	1643.357	445.312	9.9250	714.844	1160.156	great.call
11	Spectrogram 1	1	456.082430226	456.331284699	818.182	1097.902	152.344	0.0500	878.906	1031.250	male.coda
12	Spectrogram 1	1	456.437936616	456.757892367	811.189	1188.811	128.906	0.1000	949.219	1078.125	male.coda
13	Spectrogram 1	1	456.828993645	457.202275354	804.196	1167.832	199.219	0.1000	878.906	1078.125	male.coda
14	Spectrogram 1	1	457.380028548	457.753310258	762.238	1125.874	175.781	0.0750	796.875	972.656	male.coda
15	Spectrogram 1	1	490.121089646	503.808085648	419.580	1762.238	445.312	9.2500	714.844	1160.156	great.call
16	Spectrogram 1	1	504.710316884	504.994721995	806.003	1181.808	152.344	0.0500	925.781	1078.125	male.coda
17	Spectrogram 1	1	505.136924551	505.403554343	751.610	1176.863	164.062	0.1000	925.781	1089.844	male.coda
18	Spectrogram 1	1	505.474655621	505.759060733	741.720	1166.973	199.219	0.0750	890.625	1089.844	male.coda
19	Spectrogram 1	1	505.936813928	506.167893081	721.941	1152.139	164.062	0.0750	855.469	1019.531	male.coda
20	Spectrogram 1	1	554.264298325	568.090252163	578.542	1522.999	480.469	9.7500	714.844	1195.312	great.call
21	Spectrogram 1	1	569.292899745	569.523978898	667.548	1132.360	152.344	0.0500	820.312	972.656	male.coda
22	Spectrogram 1	1	569.683956774	569.915035927	702.162	1236.201	199.219	0.1000	867.188	1066.406	male.coda
23	Spectrogram 1	1	569.968361885	570.323868275	662.604	1176.863	210.938	0.0750	855.469	1066.406	male.coda
24	Spectrogram 1	1	570.359418914	570.821577221	642.824	1132.360	164.062	0.0750	855.469	1019.531	male.coda
25	Spectrogram 1	1	570.946004457	571.177083610	662.604	1092.801	152.344	0.0500	843.750	996.094	male.coda
26	Spectrogram 1	1	604.328592324	616.984619796	543.928	1621.895	480.469	9.6000	714.844	1195.312	great.call
27	Spectrogram 1	1	618.472359856	618.685663690	687.328	1018.629	117.188	0.0250	808.594	925.781	male.coda
28	Spectrogram 1	1	618.738989648	619.130046677	608.211	1142.249	292.969	0.1750	714.844	1007.812	male.coda
29	Spectrogram 1	1	619.165597316	619.432227108	623.045	1142.249	246.094	0.1000	796.875	1042.969	male.coda
30	Spectrogram 1	1	619.592204983	619.894385415	687.328	1186.753	234.375	0.1000	843.750	1078.125	male.coda
31	Spectrogram 1	1	620.072138610	620.427644999	697.217	1117.525	164.062	0.0750	832.031	996.094	male.coda
32	Spectrogram 1	1	646.099828278	661.031858423	578.542	1419.158	433.594	9.2750	714.844	1148.438	great.call
33	Spectrogram 1	1	662.251661329	662.534767587	796.113	1107.636	128.906	0.0750	890.625	1019.531	male.coda
34	Spectrogram 1	1	662.673027126	662.874131909	746.665	1216.421	234.375	0.1000	878.906	1113.281	male.coda
35	Spectrogram 1	1	663.062667643	663.251203377	756.555	1275.759	222.656	0.0750	867.188	1089.844	male.coda
36	Spectrogram 1	1	663.414601014	663.603136748	721.941	1211.477	199.219	0.0750	843.750	1042.969	male.coda
37	Spectrogram 1	1	663.879655824	664.105898705	672.493	1236.201	175.781	0.0500	843.750	1019.531	male.coda
38	Spectrogram 1	1	712.280111627	726.357446444	548.873	1547.723	433.594	9.6750	726.562	1160.156	great.call
39	Spectrogram 1	1	727.952705592	728.148234106	761.500	1162.029	164.062	0.0500	890.625	1054.688	male.coda
40	Spectrogram 1	1	728.219335384	728.450414538	623.045	1112.581	152.344	0.0750	843.750	996.094	male.coda
41	Spectrogram 1	1	728.628167732	728.859246886	736.776	1117.525	257.812	0.1500	761.719	1019.531	male.coda
42	Spectrogram 1	1	728.965898803	729.268079234	731.831	1147.194	210.938	0.0750	843.750	1054.688	male.coda
43	Spectrogram 1	1	729.481383068	729.676911582	712.052	1122.470	164.062	0.0500	855.469	1019.531	male.coda
44	Spectrogram 1	1	729.961316694	730.281272444	637.880	1048.298	152.344	0.0500	820.312	972.656	male.coda
45	Spectrogram 1	1	791.236247421	804.886234573	588.432	1547.723	410.156	9.0500	726.562	1136.719	great.call
46	Spectrogram 1	1	806.769009790	807.000088943	781.279	1211.477	140.625	0.0500	890.625	1031.250	male.coda
47	Spectrogram 1	1	807.106740860	807.337820014	697.217	1186.753	152.344	0.1000	855.469	1007.812	male.coda
48	Spectrogram 1	1	807.497797889	807.764427681	652.714	1191.697	210.938	0.0750	843.750	1054.688	male.coda
49	Spectrogram 1	1	807.942180876	808.262136627	702.162	1117.525	152.344	0.0500	832.031	984.375	male.coda
50	Spectrogram 1	1	808.528766419	808.830946850	712.052	1142.249	164.062	0.0500	832.031	996.094	male.coda
51	Spectrogram 1	1	853.830755253	866.123285120	618.100	1458.717	363.281	8.6500	726.562	1089.844	great.call
52	Spectrogram 1	1	867.082735264	867.409530537	771.389	1073.022	140.625	0.0500	843.750	984.375	male.coda
53	Spectrogram 1	1	867.512662024	867.779291816	731.831	1137.305	175.781	0.1000	855.469	1031.250	male.coda
54	Spectrogram 1	1	867.974820331	868.241450123	677.438	1142.249	199.219	0.0750	855.469	1054.688	male.coda
55	Spectrogram 1	1	868.348102040	868.561405874	697.217	1211.477	234.375	0.0750	867.188	1101.562	male.coda
56	Spectrogram 1	1	868.810260346	869.147991417	761.500	1082.912	152.344	0.0500	820.312	972.656	male.coda
57	Spectrogram 1	1	925.751071883	939.918001511	534.039	1458.717	421.875	9.8500	726.562	1148.438	great.call
58	Spectrogram 1	1	941.476842849	941.743472641	807.692	1132.867	152.344	0.0500	902.344	1054.688	male.coda
59	Spectrogram 1	1	941.911130703	942.112235486	727.273	1220.280	164.062	0.0750	878.906	1042.969	male.coda
60	Spectrogram 1	1	942.275633123	942.489306955	804.196	1216.783	222.656	0.1000	878.906	1101.562	male.coda
61	Spectrogram 1	1	942.640135542	942.891516521	664.336	1101.399	140.625	0.0500	808.594	949.219	male.coda
62	Spectrogram 1	1	943.469692772	943.645659457	674.825	1010.490	128.906	0.0500	796.875	925.781	male.coda
