Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	56.094844343	69.460862774	540.902	1571.190	602.930	10.2041	678.296	1281.226	great.call
2	Spectrogram 1	1	87.600218379	99.456453996	553.780	1614.119	624.463	8.6259	656.763	1281.226	great.call
3	Spectrogram 1	1	115.696299529	127.219494820	519.437	1588.362	613.696	8.5170	689.062	1302.759	great.call
4	Spectrogram 1	1	176.203104533	189.125069195	540.902	1463.869	581.396	9.6871	678.296	1259.692	great.call
5	Spectrogram 1	1	191.234324595	191.545162233	691.152	1008.824	172.266	0.1361	742.896	915.161	male.coda
6	Spectrogram 1	1	192.055824067	192.499877836	789.888	1240.639	290.698	0.2177	839.795	1130.493	male.coda
7	Spectrogram 1	1	215.955500899	228.500019857	553.780	1528.262	602.930	9.4694	678.296	1281.226	great.call
8	Spectrogram 1	1	230.609275258	230.986720961	695.445	1257.811	376.831	0.1905	764.429	1141.260	male.coda
9	Spectrogram 1	1	231.341963976	231.808220432	764.131	1292.154	355.298	0.2177	829.028	1184.326	male.coda
10	Spectrogram 1	1	261.098141722	274.552970906	523.730	1515.383	549.097	10.1769	678.296	1227.393	great.call
11	Spectrogram 1	1	276.084956407	276.551212864	686.859	1000.239	161.499	0.1633	732.129	893.628	male.coda
12	Spectrogram 1	1	276.728834371	277.084077386	755.545	1270.690	366.064	0.1905	818.262	1184.326	male.coda
13	Spectrogram 1	1	277.283901582	277.594739220	789.888	1227.761	269.165	0.1633	839.795	1108.960	male.coda
14	Spectrogram 1	1	299.414780377	312.025907401	536.609	1429.526	452.197	8.7619	678.296	1130.493	great.call
15	Spectrogram 1	1	314.601419258	315.023270338	721.202	1008.824	183.032	0.1361	764.429	947.461	male.coda
16	Spectrogram 1	1	344.954613600	358.076402458	510.852	1545.433	495.264	9.0612	667.529	1162.793	great.call
17	Spectrogram 1	1	390.556141946	403.766741557	528.023	1541.140	366.064	8.0272	678.296	1044.360	great.call
18	Spectrogram 1	1	405.454145877	405.809388892	609.588	1292.154	462.964	0.1633	764.429	1227.393	male.coda
19	Spectrogram 1	1	406.741901806	407.141550197	755.545	1283.568	279.932	0.1633	829.028	1108.960	male.coda
20	Spectrogram 1	1	429.253797970	442.692716812	545.195	1532.555	247.632	7.9456	689.062	936.694	great.call
21	Spectrogram 1	1	444.187627036	444.498464674	678.273	1335.083	506.030	0.1633	753.662	1259.692	male.coda
22	Spectrogram 1	1	444.787099624	445.031329196	811.352	1386.597	409.131	0.1088	872.095	1281.226	male.coda
23	Spectrogram 1	1	445.231153392	445.586396407	755.545	1266.397	301.465	0.1905	839.795	1141.260	male.coda
24	Spectrogram 1	1	470.514881684	483.891001840	545.195	1429.526	301.465	8.0272	678.296	979.761	great.call
25	Spectrogram 1	1	487.753121040	488.255510529	716.909	1202.004	204.565	0.1361	785.962	990.527	male.coda
26	Spectrogram 1	1	488.726500676	489.166091479	798.474	1270.690	312.231	0.1905	861.328	1173.560	male.coda
27	Spectrogram 1	1	489.825477684	490.233669144	781.302	1365.133	419.897	0.1633	861.328	1281.226	male.coda
28	Spectrogram 1	1	490.233669144	490.798857320	721.202	957.310	107.666	0.1361	796.729	904.395	male.coda
29	Spectrogram 1	1	513.836254048	527.714763693	579.537	1425.233	344.531	8.5442	689.062	1033.594	great.call
30	Spectrogram 1	1	530.634902601	531.231490119	712.616	1343.668	495.264	0.3265	775.195	1270.459	male.coda
31	Spectrogram 1	1	531.890876324	532.424665157	759.838	1386.597	441.431	0.2177	850.562	1291.992	male.coda
32	Spectrogram 1	1	562.308317089	575.998430676	485.683	1772.742	549.097	10.2041	689.062	1238.159	great.call
33	Spectrogram 1	1	577.338806617	577.694049632	777.010	1347.961	462.964	0.1633	839.795	1302.759	male.coda
34	Spectrogram 1	1	577.811131145	578.187923262	845.695	1369.426	387.598	0.1905	915.161	1302.759	male.coda
35	Spectrogram 1	1	578.658913408	578.972906839	841.403	1386.597	495.264	0.1361	861.328	1356.592	male.coda
36	Spectrogram 1	1	579.067104869	579.569494358	807.060	1236.347	269.165	0.1905	882.861	1152.026	male.coda
