Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	50.363404609	63.474165234	535.937	1640.625	527.563	9.9864	678.296	1205.859	great.call
2	Spectrogram 1	1	66.133157756	66.452837333	688.324	1461.722	506.030	0.1633	861.328	1367.358	male.coda
3	Spectrogram 1	1	66.664997535	67.071883209	781.132	1214.235	290.698	0.2449	861.328	1152.026	male.coda
4	Spectrogram 1	1	67.117092729	67.817840280	684.457	1009.284	139.966	0.3265	785.962	925.928	male.coda
5	Spectrogram 1	1	137.613198275	151.763777847	556.847	1430.786	506.030	11.4558	667.529	1173.560	great.call
6	Spectrogram 1	1	153.302053791	153.482891869	668.989	1511.993	484.497	0.1088	904.395	1388.892	male.coda
7	Spectrogram 1	1	153.742846605	153.855870404	788.866	1465.589	366.064	0.0816	925.928	1291.992	male.coda
8	Spectrogram 1	1	154.149732280	154.511408435	788.866	1279.974	355.298	0.1905	893.628	1248.926	male.coda
9	Spectrogram 1	1	154.635734614	155.189551226	680.590	1005.417	107.666	0.2449	818.262	925.928	male.coda
10	Spectrogram 1	1	196.806283455	210.572582112	537.512	1403.717	538.330	11.1565	678.296	1216.626	great.call
11	Spectrogram 1	1	212.195024935	212.534096330	657.388	1415.318	462.964	0.1361	861.328	1324.292	male.coda
12	Spectrogram 1	1	212.669724889	213.076610563	839.137	1307.043	215.332	0.1633	947.461	1162.793	male.coda
13	Spectrogram 1	1	213.212239121	213.506100997	777.265	1252.905	269.165	0.2177	915.161	1184.326	male.coda
14	Spectrogram 1	1	213.641729556	214.003405711	742.462	1194.900	279.932	0.1361	850.562	1130.493	male.coda
15	Spectrogram 1	1	266.182398698	280.468606828	537.512	1392.116	516.797	11.7007	667.529	1184.326	great.call
16	Spectrogram 1	1	282.189262809	282.572878302	694.088	1507.688	387.598	0.1361	925.928	1313.525	male.coda
17	Spectrogram 1	1	282.780670027	282.988461752	804.407	1438.739	322.998	0.0544	947.461	1270.459	male.coda
18	Spectrogram 1	1	283.244205414	283.467981118	813.600	1342.210	279.932	0.0816	979.761	1259.692	male.coda
19	Spectrogram 1	1	283.771676717	284.139308231	703.281	974.482	107.666	0.2993	818.262	925.928	male.coda
20	Spectrogram 1	1	284.427019851	284.762683407	726.265	1305.438	344.531	0.1633	850.562	1195.093	male.coda
21	Spectrogram 1	1	344.737982752	359.272843238	514.820	1397.370	484.497	11.0476	678.296	1162.793	great.call
22	Spectrogram 1	1	360.109219347	360.493500262	671.105	1461.722	409.131	0.1088	925.928	1335.059	male.coda
23	Spectrogram 1	1	360.538709781	361.013409735	735.458	1190.522	183.032	0.2177	915.161	1098.193	male.coda
24	Spectrogram 1	1	361.149038293	361.465504929	726.265	1162.943	193.799	0.1633	893.628	1087.427	male.coda
25	Spectrogram 1	1	361.646343007	361.962809642	735.458	1415.756	398.364	0.1361	893.628	1291.992	male.coda
26	Spectrogram 1	1	470.236175991	484.544988880	510.224	1342.210	495.264	11.1293	667.529	1162.793	great.call
27	Spectrogram 1	1	485.245736431	485.675226865	657.315	1489.302	484.497	0.1361	925.928	1410.425	male.coda
28	Spectrogram 1	1	485.743041144	486.014298260	813.600	1277.858	226.099	0.1361	979.761	1205.859	male.coda
29	Spectrogram 1	1	486.172531578	486.647231532	905.532	1195.119	150.732	0.1905	979.761	1130.493	male.coda
30	Spectrogram 1	1	486.602022013	487.099326726	744.651	1337.614	322.998	0.1905	904.395	1227.393	male.coda
31	Spectrogram 1	1	564.487285170	578.615259982	510.224	1415.756	495.264	11.7279	667.529	1162.793	great.call
32	Spectrogram 1	1	580.652139847	580.878187444	703.281	1438.739	527.563	0.1633	829.028	1356.592	male.coda
33	Spectrogram 1	1	581.081630282	581.375492158	841.180	1305.438	333.765	0.1633	915.161	1248.926	male.coda
34	Spectrogram 1	1	581.443306437	581.940611150	744.651	983.675	118.433	0.2993	818.262	936.694	male.coda
35	Spectrogram 1	1	582.098844468	582.415311104	767.634	1181.329	269.165	0.2449	829.028	1098.193	male.coda
