Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	33.792986685	48.731568157	514.616	1526.404	473.730	12.2449	635.229	1108.960	great.call
2	Spectrogram 1	1	70.773642056	85.615219752	505.894	1735.740	559.863	12.9796	645.996	1205.859	great.call
3	Spectrogram 1	1	105.684987947	119.023007118	497.172	1386.847	549.097	9.9864	656.763	1205.859	great.call
4	Spectrogram 1	1	144.983094738	159.485159219	488.449	1508.960	538.330	12.3265	645.996	1184.326	great.call
5	Spectrogram 1	1	183.653493393	198.107055985	505.894	1526.404	538.330	12.4354	656.763	1195.093	great.call
6	Spectrogram 1	1	199.444972632	199.787932770	605.030	1090.015	258.398	0.1361	710.596	968.994	male.coda
7	Spectrogram 1	1	199.848938085	200.091447525	662.652	1133.232	247.632	0.0816	775.195	1022.827	male.coda
8	Spectrogram 1	1	200.285455076	200.479462628	633.841	1032.393	204.565	0.1088	710.596	915.161	male.coda
9	Spectrogram 1	1	200.649219236	201.061485283	585.823	993.979	215.332	0.1905	699.829	915.161	male.coda
10	Spectrogram 1	1	229.950817979	244.865148507	513.796	1282.088	549.097	12.1088	667.529	1216.626	great.call
11	Spectrogram 1	1	246.029315387	246.247573882	653.049	1128.430	290.698	0.0544	775.195	1065.894	male.coda
12	Spectrogram 1	1	246.441581434	246.732592761	710.671	1210.061	279.932	0.0816	807.495	1087.427	male.coda
13	Spectrogram 1	1	246.756843705	247.120607864	657.851	917.149	107.666	0.1633	753.662	861.328	male.coda
14	Spectrogram 1	1	247.435870136	247.823885239	667.454	1114.024	269.165	0.0816	742.896	1012.061	male.coda
15	Spectrogram 1	1	275.083774084	289.852598948	513.796	1363.720	527.563	9.5510	667.529	1195.093	great.call
16	Spectrogram 1	1	291.983756974	292.274768302	739.482	1133.232	290.698	0.1361	785.962	1076.660	male.coda
17	Spectrogram 1	1	292.432684629	292.689904733	725.076	1210.061	344.531	0.1633	775.195	1119.727	male.coda
18	Spectrogram 1	1	292.792792774	293.084308892	686.662	1003.582	193.799	0.2177	699.829	893.628	male.coda
19	Spectrogram 1	1	293.513009065	293.890265217	667.454	1027.591	215.332	0.1361	753.662	968.994	male.coda
20	Spectrogram 1	1	321.993141961	335.961685675	537.805	1310.899	462.964	10.6395	667.529	1130.493	great.call
21	Spectrogram 1	1	336.468690678	336.863094837	653.049	1272.485	387.598	0.1361	785.962	1173.560	male.coda
22	Spectrogram 1	1	336.965982879	337.223202982	715.473	1152.439	258.398	0.1088	796.729	1055.127	male.coda
23	Spectrogram 1	1	337.257498996	337.651903155	681.860	888.338	107.666	0.1633	742.896	850.562	male.coda
24	Spectrogram 1	1	337.840531231	338.166343363	648.247	1061.204	290.698	0.1361	721.362	1012.061	male.coda
25	Spectrogram 1	1	370.236311870	384.689874463	494.588	1286.890	516.797	11.1565	667.529	1184.326	great.call
26	Spectrogram 1	1	385.391878698	385.717690830	581.021	1162.043	366.064	0.1633	721.362	1087.427	male.coda
27	Spectrogram 1	1	385.872022892	386.112094989	696.265	1200.457	366.064	0.1088	785.962	1152.026	male.coda
28	Spectrogram 1	1	386.197835023	386.523647155	643.445	979.573	150.732	0.1633	753.662	904.395	male.coda
29	Spectrogram 1	1	386.626535196	387.003791348	662.652	1128.430	279.932	0.1905	775.195	1055.127	male.coda
30	Spectrogram 1	1	416.536359733	431.062675157	523.399	1301.296	506.030	10.9932	656.763	1162.793	great.call
31	Spectrogram 1	1	431.191606989	431.470492845	619.436	1224.466	376.831	0.1088	732.129	1108.960	male.coda
32	Spectrogram 1	1	431.615998508	431.846382476	701.067	1200.457	312.231	0.1088	785.962	1098.193	male.coda
33	Spectrogram 1	1	431.931260780	432.161644747	662.652	1229.268	366.064	0.1088	764.429	1130.493	male.coda
34	Spectrogram 1	1	432.246523051	432.513283434	696.265	1301.296	409.131	0.0816	764.429	1173.560	male.coda
35	Spectrogram 1	1	433.148377269	433.451514068	629.040	993.979	215.332	0.1088	689.062	904.395	male.coda
36	Spectrogram 1	1	487.212504591	501.548238372	528.201	1344.512	495.264	9.8231	667.529	1162.793	great.call
37	Spectrogram 1	1	501.974749712	502.338513872	576.220	1248.476	312.231	0.0816	818.262	1130.493	male.coda
38	Spectrogram 1	1	502.520395951	502.762905391	667.454	1214.863	312.231	0.0816	775.195	1087.427	male.coda
39	Spectrogram 1	1	502.847783695	503.114544078	662.652	1046.799	172.266	0.1905	796.729	968.994	male.coda
40	Spectrogram 1	1	503.260049742	503.478308237	638.643	1123.628	333.765	0.1088	742.896	1076.660	male.coda
41	Spectrogram 1	1	503.575312013	503.708692205	672.256	1041.997	258.398	0.0816	721.362	979.761	male.coda
42	Spectrogram 1	1	504.072456364	504.290714859	629.040	1066.006	290.698	0.0816	689.062	979.761	male.coda
43	Spectrogram 1	1	544.488604203	559.039170572	513.796	1277.287	495.264	11.7823	656.763	1152.026	great.call
44	Spectrogram 1	1	560.157097997	560.397170094	624.238	1176.448	376.831	0.1088	721.362	1098.193	male.coda
45	Spectrogram 1	1	560.568650163	560.774426246	681.860	1195.655	301.465	0.0816	785.962	1087.427	male.coda
46	Spectrogram 1	1	560.963054322	561.203126419	672.256	1248.476	322.998	0.1088	764.429	1087.427	male.coda
47	Spectrogram 1	1	561.288866453	561.460346522	681.860	1282.088	322.998	0.0816	785.962	1108.960	male.coda
48	Spectrogram 1	1	561.528938550	561.803306661	696.265	1162.043	333.765	0.1088	753.662	1087.427	male.coda
