Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	161.173874855	171.276006122	559.344	1302.222	398.364	8.1633	645.996	1044.360	great.call
2	Spectrogram 1	1	172.117850394	172.889540977	638.001	1048.769	269.165	0.3810	710.596	979.761	male.coda
3	Spectrogram 1	1	191.371642869	201.333466758	524.385	1293.482	376.831	7.8912	656.763	1033.594	great.call
4	Spectrogram 1	1	202.526079477	203.367923749	611.782	1013.810	215.332	0.3537	699.829	915.161	male.coda
5	Spectrogram 1	1	226.468854612	237.342676462	533.124	1267.263	322.998	6.3946	678.296	1001.294	great.call
6	Spectrogram 1	1	264.247294760	274.980809231	524.385	1310.962	387.598	7.3741	656.763	1044.360	great.call
7	Spectrogram 1	1	277.135673911	277.681341555	681.700	1136.167	322.998	0.2177	721.362	1044.360	male.coda
8	Spectrogram 1	1	300.229908091	310.597593330	533.124	1249.783	430.664	8.0272	645.996	1076.660	great.call
9	Spectrogram 1	1	313.474750000	313.921205345	690.440	1136.167	269.165	0.2177	742.896	1012.061	male.coda
10	Spectrogram 1	1	341.419346158	351.737425248	541.864	1372.140	376.831	7.5374	667.529	1044.360	great.call
11	Spectrogram 1	1	354.366551170	354.961824963	638.001	1153.646	279.932	0.2449	710.596	990.527	male.coda
12	Spectrogram 1	1	372.299931144	382.618010233	533.124	1310.962	376.831	7.3469	667.529	1044.360	great.call
13	Spectrogram 1	1	383.411708625	384.056588568	638.001	1048.769	204.565	0.2449	721.362	925.928	male.coda
14	Spectrogram 1	1	384.205407016	384.701468511	638.001	961.372	183.032	0.2177	667.529	850.562	male.coda
15	Spectrogram 1	1	410.647149045	421.213258882	515.645	1267.263	419.897	7.7279	656.763	1076.660	great.call
16	Spectrogram 1	1	422.155775722	422.800655665	638.001	1074.989	226.099	0.2449	710.596	936.694	male.coda
17	Spectrogram 1	1	422.999080263	423.743172505	638.001	1022.550	226.099	0.3265	699.829	925.928	male.coda
18	Spectrogram 1	1	448.327406189	459.191152922	524.385	1398.359	366.064	6.8299	678.296	1044.360	great.call
19	Spectrogram 1	1	463.705312524	464.399798617	629.262	1101.208	258.398	0.2177	742.896	1001.294	male.coda
20	Spectrogram 1	1	464.553154167	464.900397213	655.481	1031.290	226.099	0.2177	699.829	925.928	male.coda
21	Spectrogram 1	1	493.140532025	503.582626488	489.426	1389.619	409.131	7.9728	656.763	1065.894	great.call
22	Spectrogram 1	1	505.616478617	505.963721663	690.440	1074.989	183.032	0.1361	742.896	925.928	male.coda
23	Spectrogram 1	1	506.236555485	506.459783158	681.700	1005.071	215.332	0.1361	699.829	915.161	male.coda
24	Spectrogram 1	1	548.263805696	559.028340131	515.645	1337.181	279.932	6.2041	656.763	936.694	great.call
25	Spectrogram 1	1	560.070069270	560.367706167	629.262	1101.208	258.398	0.1905	699.829	958.228	male.coda
26	Spectrogram 1	1	560.640539989	560.987783035	664.221	1040.030	236.865	0.2177	689.062	925.928	male.coda
27	Spectrogram 1	1	593.851364254	604.442277166	480.686	1407.099	376.831	7.5918	656.763	1033.594	great.call
28	Spectrogram 1	1	606.835965606	607.282420951	620.522	1188.605	322.998	0.1633	710.596	1033.594	male.coda
29	Spectrogram 1	1	607.580057848	607.778482446	655.481	987.591	183.032	0.1088	678.296	861.328	male.coda
30	Spectrogram 1	1	608.324150090	608.522574688	620.522	935.153	107.666	0.1088	699.829	807.495	male.coda
31	Spectrogram 1	1	637.530345774	648.294880209	498.165	1276.003	366.064	7.6463	656.763	1022.827	great.call
32	Spectrogram 1	1	650.675975383	651.122430729	620.522	1057.509	204.565	0.1905	689.062	893.628	male.coda
33	Spectrogram 1	1	651.568886074	652.015341419	664.221	1136.167	333.765	0.2177	699.829	1033.594	male.coda
34	Spectrogram 1	1	697.940452213	707.886485182	480.686	1389.619	355.298	6.4490	656.763	1012.061	great.call
35	Spectrogram 1	1	709.358681574	709.730727695	611.782	1092.468	312.231	0.1905	667.529	979.761	male.coda
36	Spectrogram 1	1	710.028364592	710.350804564	594.303	1040.030	226.099	0.2449	656.763	882.861	male.coda
37	Spectrogram 1	1	740.774869476	752.283496153	533.124	1328.441	279.932	6.7211	656.763	936.694	great.call
38	Spectrogram 1	1	754.476240996	754.823484042	550.604	1127.427	247.632	0.1905	689.062	936.694	male.coda
39	Spectrogram 1	1	755.145924014	755.393954761	611.782	943.892	150.732	0.1905	667.529	818.262	male.coda
40	Spectrogram 1	1	798.185063156	809.544871384	533.124	1232.304	398.364	7.2381	656.763	1055.127	great.call
41	Spectrogram 1	1	811.454708139	811.876360409	611.782	1013.810	204.565	0.2177	678.296	882.861	male.coda
42	Spectrogram 1	1	812.198800381	812.546043427	620.522	1005.071	258.398	0.2177	667.529	925.928	male.coda
43	Spectrogram 1	1	849.507169976	860.222098262	480.686	1450.798	344.531	7.3741	656.763	1001.294	great.call
44	Spectrogram 1	1	862.578390361	862.975239557	603.042	1057.509	226.099	0.2177	689.062	915.161	male.coda
