Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	698.658234119	708.870167893	575.520	1496.925	506.030	7.5646	667.529	1173.560	great.call
2	Spectrogram 1	1	713.152512909	713.529337033	690.165	1195.451	312.231	0.1361	796.729	1108.960	male.coda
3	Spectrogram 1	1	713.611008617	713.744236064	698.657	1102.037	139.966	0.0544	807.495	947.461	male.coda
4	Spectrogram 1	1	713.850818022	714.223854873	668.934	817.548	64.600	0.1905	710.596	775.195	male.coda
5	Spectrogram 1	1	743.012287250	753.963583383	537.305	1454.464	516.797	7.3469	678.296	1195.093	great.call
6	Spectrogram 1	1	756.945349662	757.227967755	685.918	1229.420	269.165	0.1088	850.562	1119.727	male.coda
7	Spectrogram 1	1	757.246808961	757.604791880	677.426	1004.376	139.966	0.1088	807.495	947.461	male.coda
8	Spectrogram 1	1	757.604791880	758.132345654	605.242	830.286	43.066	0.2721	699.829	742.896	male.coda
9	Spectrogram 1	1	781.800958748	792.220145790	511.828	1492.679	473.730	7.5102	678.296	1152.026	great.call
10	Spectrogram 1	1	796.665337215	796.947955308	677.426	1246.405	279.932	0.1088	818.262	1098.193	male.coda
11	Spectrogram 1	1	796.966796514	797.362461845	668.934	987.392	96.899	0.1361	818.262	915.161	male.coda
12	Spectrogram 1	1	797.437826670	798.040745269	600.996	927.947	161.499	0.3537	721.362	882.861	male.coda
13	Spectrogram 1	1	828.391262009	838.659719401	562.781	1624.308	484.497	7.7551	678.296	1162.793	great.call
14	Spectrogram 1	1	841.288521850	841.646504768	673.180	1225.174	322.998	0.1633	764.429	1087.427	male.coda
15	Spectrogram 1	1	841.759552006	842.098693718	673.180	1131.760	247.632	0.1633	807.495	1055.127	male.coda
16	Spectrogram 1	1	842.098693718	842.588565080	643.457	847.271	96.899	0.2993	721.362	818.262	male.coda
17	Spectrogram 1	1	870.700836820	880.868296043	504.158	1581.578	452.197	6.9116	678.296	1130.493	great.call
18	Spectrogram 1	1	882.685884567	883.056800462	641.409	1204.138	376.831	0.1361	775.195	1152.026	male.coda
19	Spectrogram 1	1	883.196707316	883.443556393	682.584	1224.725	312.231	0.1088	807.495	1119.727	male.coda
20	Spectrogram 1	1	883.613265133	883.782973874	641.409	1190.413	290.698	0.1088	775.195	1065.894	male.coda
21	Spectrogram 1	1	883.860114210	884.106963287	586.509	1108.062	355.298	0.1905	667.529	1022.827	male.coda
22	Spectrogram 1	1	884.137819422	884.477236902	607.096	840.423	96.899	0.2177	667.529	764.429	male.coda
23	Spectrogram 1	1	965.041640205	976.278209947	531.608	1492.365	495.264	7.0204	667.529	1162.793	great.call
24	Spectrogram 1	1	978.018538312	978.311671591	620.821	1265.901	398.364	0.1633	764.429	1162.793	male.coda
25	Spectrogram 1	1	978.465952264	978.712801341	668.859	1238.451	247.632	0.1361	818.262	1065.894	male.coda
26	Spectrogram 1	1	978.789941677	979.052218822	613.959	1108.062	301.465	0.1633	732.129	1033.594	male.coda
27	Spectrogram 1	1	979.268211764	979.561345043	675.722	1265.901	355.298	0.0816	785.962	1141.260	male.coda
28	Spectrogram 1	1	1008.945732031	1019.549562895	511.021	1492.365	516.797	7.6463	667.529	1184.326	great.call
29	Spectrogram 1	1	1025.340348851	1025.733083328	661.997	1197.275	301.465	0.1088	796.729	1098.193	male.coda
30	Spectrogram 1	1	1025.885813402	1026.147636386	627.684	1224.725	236.865	0.1088	807.495	1044.360	male.coda
31	Spectrogram 1	1	1026.256729296	1026.758556683	579.646	936.499	96.899	0.3265	710.596	807.495	male.coda
32	Spectrogram 1	1	1026.889468175	1027.282202651	600.234	806.110	64.600	0.2177	667.529	732.129	male.coda
33	Spectrogram 1	1	1058.701633971	1069.327283416	511.021	1519.815	516.797	7.0748	678.296	1195.093	great.call
34	Spectrogram 1	1	1074.927032172	1075.235593518	620.821	1197.275	312.231	0.1361	775.195	1087.427	male.coda
35	Spectrogram 1	1	1075.405302258	1075.683007470	668.859	1169.825	236.865	0.1088	818.262	1055.127	male.coda
36	Spectrogram 1	1	1075.744719739	1076.207561758	600.234	895.323	86.133	0.2721	710.596	796.729	male.coda
37	Spectrogram 1	1	1076.361842431	1076.778400248	579.646	771.797	53.833	0.2449	635.229	689.062	male.coda
38	Spectrogram 1	1	1104.789800089	1114.869984984	504.158	1471.777	473.730	6.7483	678.296	1152.026	great.call
39	Spectrogram 1	1	1118.306579433	1118.655676745	648.272	1211.000	355.298	0.1361	775.195	1130.493	male.coda
40	Spectrogram 1	1	1118.742951073	1119.201141296	696.309	984.536	193.799	0.2721	742.896	936.694	male.coda
41	Spectrogram 1	1	1119.244778460	1119.877517339	552.196	840.423	64.600	0.3265	710.596	775.195	male.coda
42	Spectrogram 1	1	1145.065360348	1155.385549645	462.983	1430.602	516.797	6.6395	667.529	1184.326	great.call
43	Spectrogram 1	1	1157.710938561	1158.096640244	627.684	1211.000	355.298	0.1633	785.962	1141.260	male.coda
44	Spectrogram 1	1	1158.235492849	1158.528626128	648.272	1183.550	301.465	0.1905	796.729	1098.193	male.coda
45	Spectrogram 1	1	1158.590338397	1158.960612013	586.509	915.911	86.133	0.1905	721.362	807.495	male.coda
46	Spectrogram 1	1	1159.192033022	1159.438882099	613.959	1114.925	290.698	0.1088	732.129	1022.827	male.coda
47	Spectrogram 1	1	1208.739773876	1219.662845527	538.471	1437.464	527.563	7.2653	678.296	1205.859	great.call
48	Spectrogram 1	1	1223.307898999	1223.678172614	661.997	1238.451	279.932	0.1633	807.495	1087.427	male.coda
49	Spectrogram 1	1	1223.817025220	1224.110158499	668.859	1197.275	269.165	0.1361	818.262	1087.427	male.coda
50	Spectrogram 1	1	1224.125586566	1224.434147912	716.897	1149.237	226.099	0.1361	818.262	1044.360	male.coda
51	Spectrogram 1	1	1224.387863710	1224.850705729	634.547	840.423	75.366	0.2721	710.596	785.962	male.coda
52	Spectrogram 1	1	1255.032191573	1265.122147590	449.258	1451.190	430.664	6.7211	667.529	1098.193	great.call
53	Spectrogram 1	1	1267.563735926	1267.887725339	655.134	1279.626	333.765	0.1361	796.729	1130.493	male.coda
54	Spectrogram 1	1	1267.964865676	1268.257998954	675.722	1121.787	172.266	0.1361	818.262	990.527	male.coda
55	Spectrogram 1	1	1268.381423493	1268.828837445	620.821	929.636	96.899	0.2993	721.362	818.262	male.coda
56	Spectrogram 1	1	1315.780787444	1326.148448673	500.966	1550.935	452.197	6.8844	678.296	1130.493	great.call
57	Spectrogram 1	1	1330.177243050	1330.504521780	665.667	1235.258	312.231	0.1361	807.495	1119.727	male.coda
58	Spectrogram 1	1	1330.548158944	1330.962712003	658.804	988.207	161.499	0.2449	742.896	904.395	male.coda
59	Spectrogram 1	1	1331.159079241	1331.769999537	631.354	892.131	75.366	0.3537	699.829	775.195	male.coda
60	Spectrogram 1	1	1377.993508756	1388.597339619	542.141	1516.623	452.197	7.4830	678.296	1130.493	great.call
61	Spectrogram 1	1	1390.954703636	1391.278693049	617.629	1228.396	290.698	0.1361	807.495	1098.193	male.coda
62	Spectrogram 1	1	1391.386689520	1391.710678934	645.079	1015.657	129.199	0.1361	818.262	947.461	male.coda
63	Spectrogram 1	1	1391.834103472	1392.343229693	631.354	885.268	53.833	0.2993	710.596	764.429	male.coda
64	Spectrogram 1	1	1430.245592210	1440.674874417	562.729	1441.135	441.431	6.9932	689.062	1130.493	great.call
65	Spectrogram 1	1	1443.167699189	1443.445404401	624.492	1235.258	322.998	0.0816	785.962	1108.960	male.coda
