Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	261.400858105	273.894584222	367.282	1599.453	527.563	10.4762	635.229	1162.793	great.call
2	Spectrogram 1	1	275.643705878	276.268392184	611.569	862.899	118.433	0.0816	667.529	785.962	male.coda
3	Spectrogram 1	1	276.261272420	276.791336328	661.835	1022.074	150.732	0.1088	721.362	872.095	male.coda
4	Spectrogram 1	1	276.968024297	277.409744220	661.835	913.165	64.600	0.0816	775.195	839.795	male.coda
5	Spectrogram 1	1	309.588341662	321.897603516	435.638	1516.356	538.330	10.1769	635.229	1173.560	great.call
6	Spectrogram 1	1	324.459579069	324.930746987	686.968	971.809	118.433	0.0816	753.662	872.095	male.coda
7	Spectrogram 1	1	325.166330946	325.460810894	636.702	871.277	53.833	0.0544	721.362	775.195	male.coda
8	Spectrogram 1	1	360.911126798	373.485420606	427.261	1541.489	527.563	10.6939	645.996	1173.560	great.call
9	Spectrogram 1	1	375.181898167	375.682514080	636.702	921.543	139.966	0.1633	689.062	829.028	male.coda
10	Spectrogram 1	1	375.711962075	376.183129993	703.723	1055.585	139.966	0.0544	807.495	947.461	male.coda
11	Spectrogram 1	1	413.149789999	426.195251725	452.394	1566.622	527.563	10.5578	635.229	1162.793	great.call
12	Spectrogram 1	1	427.943149204	428.384869127	619.947	1156.117	290.698	0.1088	753.662	1044.360	male.coda
13	Spectrogram 1	1	428.620453086	429.032725014	603.191	888.032	107.666	0.0544	656.763	764.429	male.coda
14	Spectrogram 1	1	429.717504454	430.188672372	603.191	846.144	96.899	0.0544	645.996	742.896	male.coda
15	Spectrogram 1	1	474.616140861	487.013746700	460.771	1390.691	516.797	10.5850	645.996	1162.793	great.call
16	Spectrogram 1	1	489.031161981	489.384537920	645.080	1256.649	355.298	0.0544	818.262	1173.560	male.coda
17	Spectrogram 1	1	489.590673884	489.944049822	636.702	1022.074	161.499	0.0544	742.896	904.395	male.coda
18	Spectrogram 1	1	490.209081776	490.533009719	661.835	980.186	161.499	0.0544	689.062	850.562	male.coda
19	Spectrogram 1	1	532.429445762	545.298219518	427.261	1499.601	549.097	10.6667	635.229	1184.326	great.call
20	Spectrogram 1	1	547.932547580	548.227027529	594.814	846.144	86.133	0.0544	678.296	764.429	male.coda
21	Spectrogram 1	1	548.315371513	548.668747452	678.590	1181.250	204.565	0.0544	796.729	1001.294	male.coda
22	Spectrogram 1	1	548.963227400	549.198811359	619.947	1290.160	215.332	0.1088	947.461	1162.793	male.coda
23	Spectrogram 1	1	589.563951669	602.138245476	402.128	1516.356	570.630	8.8163	656.763	1227.393	great.call
24	Spectrogram 1	1	604.332348727	604.715172660	561.303	1063.963	236.865	0.0544	689.062	925.928	male.coda
25	Spectrogram 1	1	605.068548599	605.510268522	670.213	1156.117	247.632	0.0816	764.429	1012.061	male.coda
26	Spectrogram 1	1	605.745852481	606.010884435	695.346	1315.293	366.064	0.0816	839.795	1205.859	male.coda
27	Spectrogram 1	1	606.187572404	606.688188316	661.835	913.165	43.066	0.1088	775.195	818.262	male.coda
28	Spectrogram 1	1	639.973848965	652.607038762	460.771	1432.580	549.097	9.8503	635.229	1184.326	great.call
29	Spectrogram 1	1	654.064942141	654.418318080	678.590	1038.830	193.799	0.1088	732.129	925.928	male.coda
30	Spectrogram 1	1	654.447766074	654.977829982	737.234	1248.271	312.231	0.1088	861.328	1173.560	male.coda
31	Spectrogram 1	1	655.331205920	655.831821833	720.479	1130.984	118.433	0.1361	872.095	990.527	male.coda
32	Spectrogram 1	1	705.685197450	718.230043263	410.505	1600.133	538.330	9.9048	645.996	1184.326	great.call
33	Spectrogram 1	1	720.081116409	720.289345177	686.968	1214.761	312.231	0.1088	764.429	1076.660	male.coda
34	Spectrogram 1	1	720.539219699	720.768271345	787.500	1373.936	355.298	0.1088	872.095	1227.393	male.coda
35	Spectrogram 1	1	721.080614498	721.434603405	653.457	1063.963	118.433	0.0816	742.896	861.328	male.coda
36	Spectrogram 1	1	760.300973324	773.523500131	435.638	1507.979	516.797	10.2585	656.763	1173.560	great.call
37	Spectrogram 1	1	776.256633063	776.568976216	653.457	1198.005	279.932	0.1088	785.962	1065.894	male.coda
38	Spectrogram 1	1	776.922965122	777.193662522	686.968	988.564	96.899	0.1088	742.896	839.795	male.coda
39	Spectrogram 1	1	835.428029114	847.151308787	329.651	1803.924	570.630	9.5782	645.996	1216.626	great.call
40	Spectrogram 1	1	849.249291633	849.499166156	723.401	1281.977	344.531	0.1088	818.262	1162.793	male.coda
41	Spectrogram 1	1	849.665749171	849.936446570	741.715	1346.076	344.531	0.1361	893.628	1238.159	male.coda
42	Spectrogram 1	1	850.186321092	850.602778629	723.401	1144.622	204.565	0.1905	807.495	1012.061	male.coda
43	Spectrogram 1	1	850.831830275	851.206642058	631.831	1007.267	118.433	0.1088	721.362	839.795	male.coda
44	Spectrogram 1	1	898.436065888	912.345747631	393.750	1428.488	495.264	11.4014	635.229	1130.493	great.call
45	Spectrogram 1	1	913.928390446	914.178264968	714.244	1272.820	312.231	0.1633	818.262	1130.493	male.coda
46	Spectrogram 1	1	914.386493737	914.615545382	714.244	1281.977	312.231	0.1088	829.028	1141.260	male.coda
47	Spectrogram 1	1	914.844597028	915.094471550	659.302	1007.267	107.666	0.1088	742.896	850.562	male.coda
48	Spectrogram 1	1	915.844095117	916.198084024	549.419	915.698	86.133	0.1088	689.062	775.195	male.coda
49	Spectrogram 1	1	974.187807984	987.077168762	448.692	1666.570	538.330	9.5238	656.763	1195.093	great.call
50	Spectrogram 1	1	1041.433352541	1054.114484550	329.651	1492.587	484.497	9.8503	656.763	1141.260	great.call
