Group,Name,lat,lon,Female ,Original recording number,
BNGG2,SN2,,,,,
SAFEAGG1,SA1,4.42609,117.39413,SAFA_01,,
SAFEAGG2,SA2,4.42575,117.39676,SAFA_02,,
SAFEAGG3,SA3,,,,,
SAFEAGG4,SA4,4.42538,117.38948,SAFA_04,,
SAFEAGG5,SA5,4.42839,117.39668,SAFA_05,,
SAFEAGG6,SA6,4.42244,117.39877,SAFA_06,,
SAFEAGG7,SA7,4.43004,117.39481,NA,,
SAFEAGG8,SA8,4.42302,117.39494,SAFA_08,,
SAFEAGG9,SA9,4.42397,117.39499,SAFA_09,,
SAFEBGG1,SB1,4.43209,117.36641,SAFBA_01,,
SAFEBGG2,SB2,4.43514,117.36774,SAFBB_01,,
SAFEBGG3,SB3,,,,,
SAFEBGG4,SB4,4.44345,117.37271,SAF100_02,,
SAFEBGG5,SB5,4.43792,117.36177,SAFBN_01,,*probably same
SAFEBGG6,SB6,4.43792,117.36177,SAFBN_01,,*probably same
SAFEBGG7,SB7,4.43972,117.36324,SAFBN_02,,
SAFEBGG8,SB8,4.43972,117.36324,SAFBN_03,,
SAFEBGG9,SB9,,,,,
SAFECGG1,SC1,4.42702,117.37587,SAFC_01,,
SAFECGG2,SC2,4.4284,117.37819,SAFC_02,,
SAFECGG3,SC3,4.42961,117.37776,SAFCHIL_01,,
SAFECGG4,SC4,4.4284,117.37819,SAFCRIP_01,,
SAFEFGG1,SF1,4.41588,117.31903,SAFF_0A,,
SAFEFGG2,SF2,4.41832,117.32109,SAFF_0B,,
SAFELFEGG1,SL1,,,,,
SAFELFEGG2,SL2,4.43532,117.35794,SAFL_02,,
SAFELFEGG3,SL3,,,,,
SAFELFEGG4,SL4,4.43936,117.35636,NA,,
SAFELFEGG5,SL5,4.44058,117.35532,SAFL_05,,
SAFEMGG1,SM1,4.4024,117.34989,SAFMAT_0A,,
SAFEMGG2,SM2,4.40055,117.35044,SAFMAT_0B,,
SAFEMGG3,SM3,,,,,
SAFEMGG4,SM4,,,,,
SAFEMGG5,SM5,4.38823,117.32484,SAFMAT_0E,,
SAFEVJRNGG1,SV1,4.41049,117.32122,VJRN_01,,
SAFEVJRNGG2,SV2,,,,,
SAFEVJRNGG3,SV3,4.41142,117.32483,VJRN_03,,
SAFEVJRNGG4,SV4,,,,,
SAFEVJRNGG5,SV5,4.41129,117.32439,VJRN_02,,
SAFEVJRNGG6,SV6,,,,,
SAFEVJRNGG7,SV7,,,,,
VJRSGG1,SJ1,4.39836,117.31948,VJR_01,,
VJRSGG2,SJ2,4.39836,117.31948,VJR_02,,
VJRSGG3,SJ3,,,,,
VJRSGG5,SJ5,,,,,
